Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,982,"1,588","1,551","1,486","1,834","1,488","1,569","1,615","1,193","1,269","1,503",Upgrade
Market Cap Growth,-,2.39%,4.40%,-18.98%,23.21%,-5.14%,-2.89%,35.36%,-5.95%,-15.60%,28.90%,Upgrade
Enterprise Value,870,"1,352",565,967,"1,491","1,119","1,052","1,212",813,998,"1,125",Upgrade
PE Ratio,7.07,13.01,17.93,18.47,22.81,20.80,31.36,27.45,20.31,20.92,22.38,Upgrade
PS Ratio,3.37,5.99,7.22,7.23,8.98,7.52,8.05,8.80,6.56,6.83,7.57,Upgrade
PB Ratio,1.53,2.64,1.88,1.76,2.51,2.42,2.66,2.88,2.24,2.41,2.77,Upgrade
P/FCF Ratio,7.23,14.07,17.74,13.58,23.90,15.84,20.11,21.31,18.10,16.16,17.98,Upgrade
P/OCF Ratio,7.17,13.97,17.48,13.79,22.72,15.40,19.43,20.81,16.95,15.42,17.62,Upgrade
EV/Sales Ratio,2.99,5.10,2.63,4.71,7.30,5.65,5.40,6.60,4.47,5.37,5.66,Upgrade
EV/EBITDA Ratio,4.25,7.42,4.23,7.47,11.85,9.70,9.29,12.14,8.74,10.57,10.80,Upgrade
EV/EBIT Ratio,4.56,8.16,4.83,9.05,14.17,12.30,12.07,15.16,10.61,12.64,13.06,Upgrade
EV/FCF Ratio,6.40,11.97,6.47,8.84,19.44,11.91,13.49,15.99,12.34,12.71,13.45,Upgrade
Debt / Equity Ratio,0.13,0.10,0.18,0.12,0.04,0.08,0.10,0.11,0.10,0.21,0.17,Upgrade
Debt / EBITDA Ratio,0.41,0.32,1.09,0.79,0.25,0.44,0.52,0.59,0.57,1.16,0.90,Upgrade
Debt / FCF Ratio,0.61,0.51,1.67,0.94,0.40,0.55,0.75,0.78,0.80,1.40,1.12,Upgrade
Asset Turnover,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),23.30%,19.80%,10.40%,10.10%,11.50%,12.00%,8.40%,10.60%,11.10%,11.30%,12.30%,Upgrade
Return on Assets (ROA),2.00%,1.70%,1.20%,1.30%,1.40%,1.30%,0.90%,1.10%,1.20%,1.20%,1.40%,Upgrade
Return on Capital (ROIC),2.90%,2.50%,1.90%,1.80%,2.10%,1.80%,1.80%,1.70%,1.60%,1.80%,2.00%,Upgrade
Earnings Yield,14.24%,7.68%,5.58%,5.41%,4.38%,4.81%,3.19%,3.64%,4.92%,4.78%,4.47%,Upgrade
FCF Yield,13.83%,7.11%,5.64%,7.36%,4.18%,6.31%,4.97%,4.69%,5.52%,6.19%,5.56%,Upgrade
Dividend Yield,4.56%,2.85%,2.86%,2.98%,2.40%,2.88%,2.64%,2.48%,3.28%,3.13%,2.66%,Upgrade
Payout Ratio,32.30%,37.00%,51.20%,55.00%,54.70%,59.50%,82.60%,67.80%,66.50%,65.50%,59.60%,Upgrade
Buyback Yield / Dilution,0.07%,-0.14%,0.33%,0.17%,-0.93%,-1.28%,-2.89%,-0.39%,2.23%,2.67%,2.97%,Upgrade
Total Shareholder Return,4.63%,2.71%,3.19%,3.15%,1.47%,1.60%,-0.24%,2.08%,5.51%,5.80%,5.63%,Upgrade
