Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,654,861,"1,031",596,747,605,673,-,-
Market Cap Growth,-,-16.53%,73.02%,-20.21%,23.49%,-10.15%,-,-,-
Enterprise Value,"1,144","1,433","1,519","1,270","1,243",979,"1,035",332,30
PE Ratio,7.23,9.81,11.21,16.25,13.29,14.97,64.63,-,-
PS Ratio,2.13,2.88,3.33,2.71,2.98,2.89,4.23,-,-
PB Ratio,0.82,1.12,1.23,0.74,1.00,0.93,1.47,-,-
P/FCF Ratio,3.77,3.97,14.23,5.67,29.82,7.68,27.69,-,-
P/OCF Ratio,3.70,3.91,13.86,5.47,25.49,7.57,25.07,-,-
EV/Sales Ratio,3.73,4.80,4.91,5.77,4.95,4.68,6.50,3.13,0.34
EV/EBITDA Ratio,9.35,12.04,11.67,21.85,14.86,16.04,22.51,31.49,-3.44
EV/EBIT Ratio,9.67,12.49,12.23,24.59,16.09,17.66,25.38,60.54,-2.08
EV/FCF Ratio,6.59,6.61,20.96,12.08,49.63,12.42,42.58,-597.13,-0.66
Debt / Equity Ratio,0.97,0.98,0.77,0.94,0.77,0.76,0.92,0.99,0.40
Debt / EBITDA Ratio,6.32,6.32,4.96,13.03,6.89,8.13,9.14,35.90,-8.50
Debt / FCF Ratio,4.46,3.47,8.91,7.21,23.03,6.29,17.29,-680.83,-1.63
Asset Turnover,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.04,-
Return on Equity (ROE),11.70%,11.40%,11.20%,4.70%,7.80%,6.80%,2.50%,23.40%,-
Return on Assets (ROA),1.20%,1.20%,1.40%,0.60%,1.10%,0.90%,0.30%,2.30%,-
Return on Capital (ROIC),1.50%,1.50%,1.80%,0.80%,1.40%,1.20%,1.10%,0.20%,-
Earnings Yield,13.69%,10.19%,8.92%,6.15%,7.53%,6.68%,1.55%,-,-
FCF Yield,26.55%,25.18%,7.03%,17.64%,3.35%,13.03%,3.61%,-,-
Dividend Yield,2.08%,1.57%,1.10%,0.78%,0.15%,-,-,-,-
Payout Ratio,14.90%,15.20%,12.20%,12.50%,2.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,0.30%,0.62%,2.26%,-1.07%,-5.13%,-23.88%,-0.22%,-,-
Total Shareholder Return,2.37%,2.19%,3.36%,-0.30%,-4.98%,-23.88%,-0.22%,-,-
