Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,114,153,199,182,216,-,-
Market Cap Growth,-,-23.05%,9.77%,-15.85%,-,-,-
Enterprise Value,282,318,357,303,330,122,88
PE Ratio,8.44,11.84,17.89,18.14,-15.33,-,-
PS Ratio,2.52,3.34,4.72,4.98,6.82,-,-
PB Ratio,0.85,1.15,1.11,0.94,1.15,-,-
P/FCF Ratio,6.61,8.63,-19.50,12.34,23.63,-,-
P/OCF Ratio,6.46,8.45,-20.67,10.96,21.38,-,-
EV/Sales Ratio,6.16,6.92,8.45,8.31,10.42,4.05,3.26
EV/EBITDA Ratio,16.73,18.64,23.61,21.73,-18.04,15.08,12.75
EV/EBIT Ratio,18.11,20.17,26.28,24.28,-17.02,17.49,15.50
EV/FCF Ratio,16.13,17.87,-34.90,20.60,36.10,17.06,15.51
Debt / Equity Ratio,1.35,1.36,1.00,0.88,0.82,1.59,1.28
Debt / EBITDA Ratio,10.94,10.60,11.94,12.21,-8.45,16.94,15.12
Debt / FCF Ratio,10.55,10.16,-17.65,11.58,16.91,19.16,18.40
Asset Turnover,0.04,0.04,0.04,0.03,0.03,0.04,-
Return on Equity (ROE),9.60%,9.40%,6.10%,5.20%,-9.90%,6.80%,-
Return on Assets (ROA),1.00%,1.00%,0.90%,0.90%,-1.40%,0.70%,-
Return on Capital (ROIC),1.10%,1.10%,1.00%,1.00%,-1.80%,0.80%,-
Earnings Yield,11.14%,8.45%,5.59%,5.51%,-6.52%,-,-
FCF Yield,15.14%,11.58%,-5.13%,8.11%,4.23%,-,-
Dividend Yield,4.39%,3.07%,4.86%,1.10%,-,-,-
Payout Ratio,36.70%,33.30%,79.60%,18.30%,0.00%,-,-
Buyback Yield / Dilution,4.98%,5.06%,6.58%,1.68%,-3.84%,-,-
Total Shareholder Return,9.44%,8.14%,11.44%,2.78%,-3.84%,-,-
