Year,Current,2022,2021
Market Capitalization,96,336,329
Market Cap Growth,-,2.12%,-
Enterprise Value,89,329,328
PE Ratio,42.83,42.62,-295.87
PB Ratio,19.34,67.57,-3021.98
P/FCF Ratio,17.82,62.27,1296.52
P/OCF Ratio,17.82,62.27,1296.52
EV/EBITDA Ratio,8.27,30.68,-294.52
EV/EBIT Ratio,8.27,30.68,-294.52
EV/FCF Ratio,16.41,60.86,1290.61
Current Ratio,0.64,0.64,1.05
Return on Equity (ROE),367.10%,367.10%,-56.20%
Return on Assets (ROA),3.80%,3.80%,-0.40%
Return on Capital (ROIC),5.40%,5.40%,-0.40%
Earnings Yield,8.20%,2.35%,-0.34%
FCF Yield,5.61%,1.61%,0.08%
Buyback Yield / Dilution,-15.96%,-15.96%,-
Total Shareholder Return,-15.96%,-15.96%,-
