Year,Current,2022,2021,2020
Market Capitalization,16,34,188,185
Market Cap Growth,-,-82.12%,1.92%,-
Enterprise Value,23,26,183,182
PE Ratio,-0.18,-0.96,57.34,36.15
PS Ratio,-0.87,-1.03,26.90,23.01
PB Ratio,0.36,6.59,25.68,42.47
P/FCF Ratio,21.51,20.06,64.10,37.36
P/OCF Ratio,12.19,19.86,63.97,37.35
EV/Sales Ratio,-0.87,-0.80,26.12,22.64
EV/EBITDA Ratio,-0.73,-1.06,55.64,35.50
EV/EBIT Ratio,-0.71,-1.05,55.67,35.54
EV/FCF Ratio,31.01,15.67,62.23,36.76
Debt / Equity Ratio,18.43,18.43,0.02,0.05
Debt / EBITDA Ratio,-0.43,-0.04,-,-
Debt / FCF Ratio,21.34,0.61,-,-
Current Ratio,0.21,0.21,116.34,25.16
Asset Turnover,0.04,-0.33,0.93,1.76
Return on Equity (ROE),-920.02%,-687.02%,44.79%,117.48%
Return on Assets (ROA),-47.35%,-35.36%,43.71%,111.81%
Return on Capital (ROIC),-162.18%,-87.28%,-93.51%,-332.97%
Earnings Yield,-300.39%,-104.22%,1.74%,2.77%
FCF Yield,4.65%,4.98%,1.56%,2.68%
Buyback Yield / Dilution,-37.16%,-1.46%,-,-
Total Shareholder Return,-37.16%,-1.46%,-,-
