Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,519,540,744,-,-,-,-,-,-,-,-,Upgrade
Market Cap Growth,-,-27.41%,-,-,-,-,-,-,-,-,-,Upgrade
Enterprise Value,"1,444","1,409","1,563",700,830,875,649,204,-42,-9,-0,Upgrade
PE Ratio,47.25,10.78,6.27,-,-,-,-,-,-,-,-,Upgrade
PS Ratio,2.46,2.77,4.73,-,-,-,-,-,-,-,-,Upgrade
PB Ratio,0.65,0.61,0.80,-,-,-,-,-,-,-,-,Upgrade
P/FCF Ratio,10.70,15.32,-15.12,-,-,-,-,-,-,-,-,Upgrade
P/OCF Ratio,10.70,15.32,-15.12,-,-,-,-,-,-,-,-,Upgrade
EV/Sales Ratio,6.62,7.23,9.93,4.27,4.13,4.65,4.26,2.48,-0.79,-0.53,-0.24,Upgrade
EV/EBITDA Ratio,20.04,14.07,10.36,26.84,8.19,11.37,5.96,1.66,40.25,-0.58,-0.07,Upgrade
EV/EBIT Ratio,20.04,14.07,10.36,26.84,8.19,11.37,5.96,1.66,40.25,-0.58,-0.07,Upgrade
EV/FCF Ratio,28.75,39.94,-31.74,3.52,6.59,-7.64,-1.57,-0.90,0.11,0.03,0.00,Upgrade
Debt / Equity Ratio,1.21,1.08,0.88,0.82,0.88,0.91,0.67,0.22,-,-,-,Upgrade
Debt / EBITDA Ratio,13.91,9.50,5.45,27.60,8.25,11.60,6.47,1.79,-,-,-,Upgrade
Debt / FCF Ratio,19.96,26.97,-16.70,3.62,6.64,-7.79,-1.71,-0.98,-,-,-,Upgrade
Asset Turnover,0.12,0.11,0.09,0.10,0.11,0.10,0.09,0.08,0.06,0.05,0.03,Upgrade
Return on Equity (ROE),1.30%,5.50%,12.80%,-1.30%,5.40%,3.00%,8.30%,12.60%,-0.20%,4.60%,9.10%,Upgrade
Return on Assets (ROA),0.60%,2.70%,6.80%,-0.70%,2.80%,1.60%,5.10%,10.90%,-0.20%,4.30%,8.40%,Upgrade
Return on Capital (ROIC),2.60%,3.70%,6.00%,1.10%,3.80%,2.80%,4.80%,10.30%,-0.10%,4.40%,8.50%,Upgrade
Earnings Yield,2.09%,9.28%,15.95%,-,-,-,-,-,-,-,-,Upgrade
FCF Yield,9.34%,6.53%,-6.62%,-,-,-,-,-,-,-,-,Upgrade
Dividend Yield,16.00%,12.35%,3.51%,-,-,-,-,-,-,-,-,Upgrade
Payout Ratio,450.00%,132.60%,22.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,3.25%,0.44%,0.02%,0.07%,0.38%,-1.68%,-5.95%,-34.97%,-133.42%,-508.94%,-1003.81%,Upgrade
Total Shareholder Return,19.23%,12.79%,3.53%,0.07%,0.38%,-1.68%,-5.95%,-34.97%,-133.42%,-508.94%,-1003.81%,Upgrade
