Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"4,115","2,370","2,569","2,571","2,935","2,659","2,536","2,593","1,877","1,470","1,409",Upgrade
Market Cap Growth,-,-7.77%,-0.05%,-12.41%,10.39%,4.84%,-2.22%,38.18%,27.70%,4.28%,97.95%,Upgrade
Enterprise Value,"7,247","2,793","1,858","2,033","3,740","2,877","2,328","2,456","1,870","1,611","1,291",Upgrade
PE Ratio,8.34,9.47,12.67,16.67,15.09,15.38,22.47,24.73,18.99,18.02,23.48,Upgrade
PS Ratio,4.75,3.29,4.17,4.88,5.00,4.81,5.41,6.31,4.60,4.12,4.43,Upgrade
PB Ratio,0.84,0.96,0.99,1.10,1.36,1.31,1.30,2.07,1.51,1.20,1.34,Upgrade
P/FCF Ratio,20.56,7.17,10.49,13.78,14.32,10.99,18.86,17.18,13.19,11.48,21.19,Upgrade
P/OCF Ratio,20.64,7.88,10.93,13.37,14.33,11.21,19.73,17.78,13.93,10.68,17.70,Upgrade
EV/Sales Ratio,8.37,3.88,3.01,3.86,6.37,5.21,4.96,5.98,4.59,4.51,4.06,Upgrade
EV/EBITDA Ratio,25.50,7.62,6.64,9.81,13.56,11.75,11.13,13.33,10.87,9.93,10.13,Upgrade
EV/EBIT Ratio,32.13,8.79,7.24,10.57,15.48,13.58,13.08,16.40,13.20,13.68,14.84,Upgrade
EV/FCF Ratio,36.20,8.45,7.59,10.90,18.25,11.89,17.31,16.27,13.14,12.59,19.42,Upgrade
Debt / Equity Ratio,1.39,0.69,0.04,0.05,0.49,0.24,0.07,0.07,0.14,0.27,0.06,Upgrade
Debt / EBITDA Ratio,23.81,4.69,0.41,0.56,3.82,2.03,0.64,0.47,0.98,2.03,0.48,Upgrade
Debt / FCF Ratio,33.81,5.20,0.46,0.62,5.14,2.05,1.00,0.58,1.18,2.58,0.93,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.04,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),6.10%,10.90%,8.50%,6.80%,9.10%,8.70%,7.70%,8.30%,7.90%,7.30%,6.20%,Upgrade
Return on Assets (ROA),0.60%,1.10%,1.10%,1.00%,1.40%,1.40%,1.10%,1.10%,1.10%,1.10%,0.90%,Upgrade
Return on Capital (ROIC),0.70%,1.40%,1.50%,1.30%,1.80%,1.80%,1.80%,1.70%,1.70%,1.60%,1.40%,Upgrade
Earnings Yield,4.34%,10.56%,7.89%,6.00%,6.63%,6.50%,4.45%,4.04%,5.27%,5.55%,4.26%,Upgrade
FCF Yield,4.86%,13.95%,9.53%,7.26%,6.98%,9.10%,5.30%,5.82%,7.58%,8.71%,4.72%,Upgrade
Dividend Yield,6.07%,3.96%,3.23%,3.69%,3.44%,3.10%,2.08%,3.37%,2.67%,2.89%,1.43%,Upgrade
Payout Ratio,50.60%,37.50%,40.90%,61.80%,52.20%,48.30%,47.30%,84.50%,51.50%,52.30%,33.10%,Upgrade
Buyback Yield / Dilution,-20.58%,-7.30%,-2.81%,1.60%,0.49%,-20.88%,-4.71%,-0.28%,-7.24%,-8.42%,-24.93%,Upgrade
Total Shareholder Return,-14.51%,-3.34%,0.42%,5.29%,3.93%,-17.77%,-2.63%,3.09%,-4.56%,-5.53%,-23.50%,Upgrade
