Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Market Capitalization,"39,535","37,736","44,922","48,030","49,385","45,754","65,533","51,179","57,878","59,106","57,538",Upgrade
Market Cap Growth,-,-16.00%,-6.47%,-2.74%,7.93%,-30.18%,28.05%,-11.57%,-2.08%,2.73%,58.19%,Upgrade
Enterprise Value,"37,590","36,537","47,169","53,225","48,044","31,339","51,818","36,168","43,146","44,021","43,127",Upgrade
PE Ratio,39.06,37.81,-15.85,22.08,63.07,11.38,21.28,20.92,17.62,20.94,33.56,Upgrade
PS Ratio,-4.59,-4.59,1.70,1.33,1.29,1.28,0.87,0.56,1.10,0.77,0.86,Upgrade
PB Ratio,1.85,2.23,2.63,2.30,2.54,2.08,3.01,2.74,3.51,3.93,4.68,Upgrade
P/FCF Ratio,30.09,36.15,185.63,17.65,42.10,14.20,37.47,20.55,19.70,27.86,39.46,Upgrade
P/OCF Ratio,29.14,35.01,161.59,17.32,40.08,13.64,35.48,18.26,17.94,25.39,34.12,Upgrade
EV/Sales Ratio,-4.45,-4.45,1.78,1.47,1.25,0.87,0.69,0.40,0.82,0.57,0.65,Upgrade
EV/EBITDA Ratio,18.29,22.12,-23.07,18.16,30.12,6.10,11.60,10.78,9.79,11.70,17.45,Upgrade
EV/EBIT Ratio,18.29,22.12,-23.07,18.16,30.12,6.10,11.60,10.78,9.79,11.70,17.45,Upgrade
EV/FCF Ratio,28.94,35.00,194.91,19.55,40.96,9.73,29.63,14.53,14.68,20.75,29.57,Upgrade
Debt / Equity Ratio,0.30,0.30,0.41,0.43,0.42,0.73,0.73,0.71,0.64,0.65,0.80,Upgrade
Debt / EBITDA Ratio,3.07,3.07,-3.42,3.10,5.17,3.13,3.57,3.97,2.40,2.59,3.96,Upgrade
Debt / FCF Ratio,4.86,4.86,28.88,3.33,7.02,4.98,9.12,5.35,3.60,4.60,6.71,Upgrade
Asset Turnover,-0.04,-0.04,0.07,0.08,0.07,0.05,0.12,0.17,0.11,0.17,0.17,Upgrade
Return on Equity (ROE),5.90%,5.90%,-14.90%,10.80%,3.80%,18.40%,15.20%,13.90%,20.80%,20.70%,13.50%,Upgrade
Return on Assets (ROA),0.50%,0.50%,-0.80%,0.40%,0.10%,0.60%,0.50%,0.40%,0.70%,0.60%,0.40%,Upgrade
Return on Capital (ROIC),0.90%,0.90%,-0.60%,0.60%,0.30%,0.80%,0.70%,0.60%,1.00%,0.90%,0.60%,Upgrade
Earnings Yield,3.18%,2.64%,-6.31%,4.53%,1.59%,8.78%,4.70%,4.78%,5.68%,4.77%,2.98%,Upgrade
FCF Yield,3.32%,2.77%,0.54%,5.67%,2.38%,7.04%,2.67%,4.87%,5.08%,3.59%,2.53%,Upgrade
Dividend Yield,0.67%,2.56%,1.87%,3.40%,34.12%,7.25%,4.66%,7.00%,5.24%,5.06%,4.12%,Upgrade
Payout Ratio,48.20%,48.20%,-20.70%,38.40%,432.60%,57.40%,49.30%,72.90%,45.90%,52.80%,69.00%,Upgrade
Buyback Yield / Dilution,-5.58%,-5.25%,-0.32%,-0.31%,-0.23%,-0.24%,-0.33%,-0.18%,-0.29%,-0.12%,-0.36%,Upgrade
Total Shareholder Return,-4.91%,-2.69%,1.55%,3.08%,33.89%,7.01%,4.33%,6.82%,4.95%,4.94%,3.76%,Upgrade
