Year,Current,2022,2021,2020
Market Capitalization,101,378,366,-
Market Cap Growth,-,3.28%,-,-
Enterprise Value,101,378,365,0
PE Ratio,33.32,32.57,33.49,-
PB Ratio,-33.67,-33.67,-19.43,-
P/FCF Ratio,-388.33,-388.33,-660.01,-
P/OCF Ratio,-388.33,-388.33,-660.01,-
EV/EBITDA Ratio,8.69,32.57,33.40,-0.87
EV/EBIT Ratio,8.69,32.57,33.40,-0.87
EV/FCF Ratio,-388.31,-388.31,-658.22,-
Debt / Equity Ratio,-,-,-,0.26
Debt / EBITDA Ratio,-,-,-,-0.87
Current Ratio,0.08,0.08,2.16,1.29
Return on Equity (ROE),-94.90%,-94.90%,-154.30%,-
Return on Assets (ROA),3.80%,3.80%,3.60%,-
Return on Capital (ROIC),3.90%,3.90%,3.60%,-
Earnings Yield,11.51%,3.07%,2.99%,-
FCF Yield,-0.97%,-0.26%,-0.15%,-
Buyback Yield / Dilution,-11.75%,-11.75%,-1730.36%,-
Total Shareholder Return,-11.75%,-11.75%,-1730.36%,-
