Year,Current,2022
Market Capitalization,305,297
Enterprise Value,64,56
PE Ratio,32.12,32.12
PB Ratio,-31.47,-31.47
P/FCF Ratio,-257.10,-257.10
P/OCF Ratio,-257.10,-257.10
EV/EBITDA Ratio,6.92,6.08
EV/EBIT Ratio,6.92,6.08
EV/FCF Ratio,-48.65,-48.65
Current Ratio,23.07,23.07
Return on Equity (ROE),-78.40%,-78.40%
Return on Assets (ROA),3.90%,3.90%
Return on Capital (ROIC),4.00%,4.00%
Earnings Yield,3.03%,3.11%
FCF Yield,-0.38%,-0.39%
Buyback Yield / Dilution,-381.30%,-381.30%
Total Shareholder Return,-381.30%,-381.30%
