Year,Current,2021,2020,2019,2018,2017
Market Capitalization,7,14,69,13,113,153
Market Cap Growth,-,-79.39%,446.48%,-88.86%,-26.02%,-
Enterprise Value,6,14,65,18,110,142
PE Ratio,1.36,-26.49,-6.66,-1.45,-24.91,-15.54
PS Ratio,2.35,2.89,31.52,0.81,44.43,309.58
PB Ratio,1.24,1.76,11.78,4.50,13.53,11.90
P/FCF Ratio,-3.65,-1.15,-11.07,-1.82,-18.11,-196.85
P/OCF Ratio,-2.83,-1.55,-17.53,-1.96,-18.12,-197.61
EV/Sales Ratio,2.16,2.81,29.91,1.17,43.22,287.07
EV/EBITDA Ratio,2.60,8.63,-6.74,-2.82,-24.60,-15.45
EV/EBIT Ratio,2.06,-29.39,-6.35,-2.25,-24.53,-14.41
EV/FCF Ratio,-3.35,-1.12,-10.51,-2.64,-17.62,-182.54
Debt / Equity Ratio,0.20,0.14,0.23,2.51,0.10,-
Debt / EBITDA Ratio,0.46,0.69,-0.14,-1.08,-0.19,-
Debt / FCF Ratio,-0.60,-0.09,-0.22,-1.01,-0.14,-
Current Ratio,0.83,0.91,0.65,0.59,3.04,7.50
Asset Turnover,0.17,0.25,0.11,0.98,0.20,0.04
Return on Equity (ROE),49.20%,-15.00%,-281.90%,-118.00%,-43.70%,-87.60%
Return on Assets (ROA),19.70%,-2.70%,-53.80%,-54.30%,-34.80%,-80.70%
Return on Capital (ROIC),29.10%,-7.30%,-135.90%,-105.10%,-411.70%,3200.90%
Earnings Yield,48.54%,-3.77%,-15.02%,-68.71%,-4.01%,-6.43%
FCF Yield,-27.03%,-87.11%,-9.03%,-55.00%,-5.52%,-0.51%
Buyback Yield / Dilution,-29.83%,-45.24%,-40.71%,-8.27%,-17.82%,-8.48%
Total Shareholder Return,-29.83%,-45.24%,-40.71%,-8.27%,-17.82%,-8.48%
