Year,Current,2022
Market Capitalization,247,240
Enterprise Value,50,45
PE Ratio,63.62,116.68
PB Ratio,-35.21,-36.99
P/FCF Ratio,-6499.96,-185.43
P/OCF Ratio,-6499.96,-185.43
EV/EBITDA Ratio,12.91,21.89
EV/EBIT Ratio,12.91,21.89
EV/FCF Ratio,-1291.02,-34.80
Debt / Equity Ratio,-0.04,-
Debt / EBITDA Ratio,0.08,-
Debt / FCF Ratio,-7.94,-
Current Ratio,25.67,27.02
Return on Equity (ROE),-59.80%,-33.60%
Return on Assets (ROA),2.00%,1.10%
Return on Capital (ROIC),2.00%,1.10%
Earnings Yield,1.57%,0.86%
FCF Yield,-0.02%,-0.54%
Buyback Yield / Dilution,-19.05%,-
Total Shareholder Return,-19.05%,-
