Year,Current,2022,2021,2020
Market Capitalization,257,313,304,-
Market Cap Growth,-,2.88%,-,-
Enterprise Value,257,312,303,0
PE Ratio,35.48,33.94,31.55,-
PB Ratio,-35.31,-35.31,-19.29,-
P/FCF Ratio,-350.82,-350.82,-484.13,-
P/OCF Ratio,-350.82,-350.82,-484.13,-
EV/EBITDA Ratio,26.11,31.76,31.46,-23.62
EV/EBIT Ratio,26.11,31.76,31.46,-23.62
EV/FCF Ratio,-350.37,-350.37,-482.61,-
Debt / Equity Ratio,-,-,-,2.03
Debt / EBITDA Ratio,-,-,-,-48.62
Current Ratio,0.81,0.81,2.22,0.11
Return on Equity (ROE),-94.20%,-94.20%,-49.50%,-
Return on Assets (ROA),3.70%,3.70%,3.80%,-
Return on Capital (ROIC),3.90%,3.90%,3.90%,-
Earnings Yield,3.58%,2.95%,3.17%,-
FCF Yield,-0.35%,-0.29%,-0.21%,-
Buyback Yield / Dilution,-19.67%,-19.67%,-317.81%,-
Total Shareholder Return,-19.67%,-19.67%,-317.81%,-
