Year,Current,2021
Market Capitalization,70,121
Enterprise Value,71,121
PE Ratio,1.62,86.64
PB Ratio,-132.57,-13.60
P/FCF Ratio,-96.52,-142.94
P/OCF Ratio,-96.52,-142.94
EV/EBITDA Ratio,7.51,86.69
EV/EBIT Ratio,7.51,86.69
EV/FCF Ratio,-96.97,-143.04
Debt / Equity Ratio,-0.65,-0.05
Debt / EBITDA Ratio,0.07,0.32
Debt / FCF Ratio,-0.47,-0.53
Current Ratio,0.39,4.34
Return on Equity (ROE),-287.20%,-31.50%
Return on Assets (ROA),9.10%,2.70%
Return on Capital (ROIC),9.20%,2.70%
Earnings Yield,13.23%,1.15%
FCF Yield,-1.99%,-0.70%
Buyback Yield / Dilution,-435.52%,-
Total Shareholder Return,-435.52%,-
