Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"14,128","20,343","22,304","12,849","15,574","12,653","15,739","14,341","8,811","8,568","8,014",Upgrade
Market Cap Growth,-,-8.80%,73.59%,-17.50%,23.08%,-19.60%,9.75%,62.76%,2.84%,6.91%,46.61%,Upgrade
Enterprise Value,"23,526","25,138","23,832","14,672","26,757","20,570","28,434","24,900","15,569","14,016","11,767",Upgrade
PE Ratio,6.12,9.57,19.35,17.92,11.65,9.56,14.18,22.17,13.33,14.27,13.15,Upgrade
PS Ratio,1.97,2.92,3.74,3.41,3.56,2.96,3.83,4.31,3.05,3.13,3.05,Upgrade
PB Ratio,0.75,1.15,1.16,0.99,1.32,1.14,1.46,1.39,1.34,1.35,1.32,Upgrade
P/FCF Ratio,4.50,5.34,12.29,10.67,10.62,7.83,8.94,13.10,9.37,10.34,8.80,Upgrade
P/OCF Ratio,4.27,5.05,10.82,9.71,9.89,7.33,8.05,11.80,8.53,9.64,7.91,Upgrade
EV/Sales Ratio,3.28,3.61,3.99,3.89,6.11,4.81,6.92,7.48,5.39,5.12,4.48,Upgrade
EV/EBITDA Ratio,6.82,7.77,12.04,10.96,13.08,9.70,15.74,19.15,12.41,11.82,10.23,Upgrade
EV/EBIT Ratio,8.02,9.13,15.00,15.09,16.13,12.64,20.40,27.07,17.03,16.43,13.54,Upgrade
EV/FCF Ratio,7.49,6.59,13.13,12.19,18.24,12.73,16.16,22.74,16.56,16.91,12.92,Upgrade
Debt / Equity Ratio,1.06,0.66,0.39,0.66,1.06,0.96,1.32,1.16,1.16,1.06,0.79,Upgrade
Debt / EBITDA Ratio,5.79,3.62,3.76,6.37,6.09,5.02,7.89,9.23,6.10,5.68,4.18,Upgrade
Debt / FCF Ratio,6.36,3.07,4.10,7.09,8.49,6.59,8.10,10.96,8.15,8.12,5.28,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),12.70%,11.90%,6.30%,5.70%,11.40%,11.80%,10.40%,7.30%,10.10%,9.60%,10.30%,Upgrade
Return on Assets (ROA),1.20%,1.20%,0.70%,0.60%,1.20%,1.20%,1.10%,0.70%,1.00%,0.90%,1.10%,Upgrade
Return on Capital (ROIC),1.60%,1.50%,1.00%,0.80%,1.40%,1.40%,1.30%,1.00%,1.20%,1.20%,1.50%,Upgrade
Earnings Yield,16.04%,10.45%,5.17%,5.58%,8.58%,10.46%,7.05%,4.51%,7.50%,7.01%,7.60%,Upgrade
FCF Yield,22.24%,18.74%,8.14%,9.37%,9.42%,12.77%,11.18%,7.64%,10.67%,9.68%,11.37%,Upgrade
Dividend Yield,6.54%,4.47%,3.49%,4.82%,3.93%,4.37%,2.53%,1.86%,2.32%,2.04%,2.00%,Upgrade
Payout Ratio,39.70%,42.20%,66.50%,84.50%,45.00%,41.00%,34.30%,40.30%,30.50%,28.80%,26.00%,Upgrade
Buyback Yield / Dilution,-0.34%,-13.87%,-24.60%,2.22%,4.51%,2.66%,-23.66%,-12.44%,1.91%,1.29%,2.25%,Upgrade
Total Shareholder Return,6.20%,-9.41%,-21.11%,7.04%,8.45%,7.03%,-21.13%,-10.58%,4.23%,3.33%,4.25%,Upgrade
