Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Market Capitalization,"50,692","51,610","94,676","62,294","55,207","36,769","42,957","32,610","29,267","31,345","24,277",Upgrade
Market Cap Growth,-,-45.49%,51.98%,12.84%,50.15%,-14.41%,31.73%,11.42%,-6.63%,29.11%,6.96%,Upgrade
Enterprise Value,"264,494","255,476","262,222","204,461","195,936","150,473","119,868","96,767","88,107","84,494","69,353",Upgrade
PE Ratio,71.70,25.10,23.87,-464.88,19.67,10.26,29.38,19.75,12.50,10.08,11.45,Upgrade
PS Ratio,0.54,0.56,1.25,0.99,0.81,0.65,1.05,1.34,1.47,1.71,1.21,Upgrade
PB Ratio,1.15,1.18,2.04,1.74,1.58,1.23,1.52,1.23,1.16,1.32,1.16,Upgrade
P/FCF Ratio,-12.08,-14.02,-28.25,38.72,31.86,6.79,13.54,8.76,19.56,15.59,391.56,Upgrade
P/OCF Ratio,5.39,5.90,12.02,7.47,8.72,7.13,10.73,10.58,10.50,12.18,10.66,Upgrade
EV/Sales Ratio,2.81,2.75,3.46,3.26,2.89,2.65,2.94,3.96,4.42,4.60,3.45,Upgrade
EV/EBITDA Ratio,11.97,11.66,12.90,14.92,12.72,13.33,14.93,14.75,12.49,9.96,9.95,Upgrade
EV/EBIT Ratio,18.85,17.96,18.87,25.83,18.61,18.37,21.09,21.32,16.45,12.05,12.57,Upgrade
EV/FCF Ratio,-60.43,-69.42,-78.25,127.07,113.06,27.78,37.78,26.01,58.90,42.02,1118.59,Upgrade
Debt / Equity Ratio,5.15,4.99,3.89,4.24,4.21,4.10,2.91,2.59,2.43,2.38,2.33,Upgrade
Debt / EBITDA Ratio,10.27,9.96,8.87,11.10,9.58,10.81,10.22,10.44,8.74,6.64,6.99,Upgrade
Debt / FCF Ratio,-51.31,-59.31,-53.79,94.53,85.12,22.54,25.86,18.40,41.19,28.00,786.11,Upgrade
Asset Turnover,0.22,0.22,0.19,0.18,0.21,0.22,0.21,0.16,0.15,0.15,0.18,Upgrade
Return on Equity (ROE),1.80%,4.60%,8.60%,-0.40%,8.00%,12.00%,5.20%,6.40%,9.60%,14.00%,10.40%,Upgrade
Return on Assets (ROA),0.20%,0.50%,1.00%,0.00%,0.90%,1.40%,0.80%,1.00%,1.70%,2.60%,1.90%,Upgrade
Return on Capital (ROIC),2.50%,2.50%,2.70%,1.80%,2.50%,2.40%,2.30%,2.10%,2.90%,4.30%,3.80%,Upgrade
Earnings Yield,1.61%,3.98%,4.19%,-0.22%,5.08%,9.75%,3.40%,5.06%,8.00%,9.92%,8.73%,Upgrade
FCF Yield,-8.74%,-7.13%,-3.54%,2.58%,3.14%,14.73%,7.39%,11.41%,5.11%,6.42%,0.26%,Upgrade
Dividend Yield,1.62%,1.78%,0.86%,1.16%,1.11%,1.56%,1.29%,1.58%,1.50%,1.36%,1.52%,Upgrade
Payout Ratio,97.70%,45.90%,21.10%,-400.00%,24.00%,17.30%,40.90%,33.00%,20.40%,14.20%,18.40%,Upgrade
Buyback Yield / Dilution,0.10%,-4.62%,-3.88%,-5.35%,0.38%,2.82%,0.13%,-6.43%,1.03%,-0.01%,-0.96%,Upgrade
Total Shareholder Return,1.72%,-2.84%,-3.02%,-4.19%,1.49%,4.39%,1.41%,-4.85%,2.53%,1.35%,0.56%,Upgrade
