Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Market Capitalization,169,203,243,189,250,202,205,232,162,140,166,Upgrade
Market Cap Growth,-,-16.48%,28.36%,-24.18%,23.78%,-1.62%,-11.73%,43.26%,15.54%,-15.47%,80.01%,Upgrade
Enterprise Value,238,277,241,186,275,284,227,256,190,152,172,Upgrade
PE Ratio,7.84,9.17,11.58,9.42,13.19,13.58,15.80,18.60,14.12,14.21,18.89,Upgrade
PS Ratio,2.25,2.70,3.30,2.71,3.75,3.46,4.01,4.63,3.37,3.18,4.37,Upgrade
PB Ratio,0.83,1.01,1.02,0.79,1.09,0.92,1.36,1.62,1.16,1.12,1.40,Upgrade
P/FCF Ratio,7.47,8.04,15.29,16.73,13.83,10.18,17.38,38.07,12.70,9.31,17.32,Upgrade
P/OCF Ratio,7.29,8.03,13.63,13.83,11.36,10.21,11.30,14.99,12.24,8.80,15.90,Upgrade
EV/Sales Ratio,3.18,3.69,3.28,2.66,4.14,4.87,4.44,5.10,3.96,3.46,4.53,Upgrade
EV/EBITDA Ratio,8.15,9.33,8.55,7.04,10.48,12.98,11.04,13.13,10.18,9.38,12.34,Upgrade
EV/EBIT Ratio,8.97,10.28,9.43,7.69,11.95,15.95,13.15,15.12,12.13,11.50,14.67,Upgrade
EV/FCF Ratio,10.54,10.98,15.18,16.43,15.25,14.34,19.24,41.97,14.92,10.11,17.96,Upgrade
Debt / Equity Ratio,0.50,0.48,0.07,0.12,0.20,0.47,0.31,0.30,0.31,0.22,0.17,Upgrade
Debt / EBITDA Ratio,3.47,3.26,0.58,1.07,1.77,4.72,2.30,2.19,2.32,1.72,1.49,Upgrade
Debt / FCF Ratio,4.49,3.84,1.04,2.51,2.57,5.22,4.01,6.99,3.40,1.86,2.17,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),10.80%,11.00%,8.80%,8.50%,8.40%,7.50%,8.70%,8.60%,8.40%,8.00%,8.90%,Upgrade
Return on Assets (ROA),1.10%,1.20%,1.10%,1.20%,1.20%,1.00%,1.00%,1.00%,0.90%,0.90%,0.90%,Upgrade
Return on Capital (ROIC),1.40%,1.40%,1.40%,1.50%,1.40%,1.20%,1.30%,1.30%,1.30%,1.20%,1.20%,Upgrade
Earnings Yield,12.91%,10.91%,8.64%,10.61%,7.58%,7.36%,6.33%,5.38%,7.08%,7.04%,5.29%,Upgrade
FCF Yield,13.39%,12.44%,6.54%,5.98%,7.23%,9.82%,5.75%,2.63%,7.87%,10.74%,5.77%,Upgrade
Dividend Yield,5.45%,4.56%,3.99%,4.98%,3.62%,3.85%,3.13%,2.75%,3.88%,4.29%,3.08%,Upgrade
Payout Ratio,42.70%,42.00%,46.40%,47.10%,47.90%,52.40%,49.20%,50.80%,54.20%,60.40%,57.10%,Upgrade
Buyback Yield / Dilution,5.33%,9.36%,2.52%,1.29%,-9.55%,-19.27%,-0.36%,-1.68%,-4.31%,-17.83%,-17.35%,Upgrade
Total Shareholder Return,10.77%,13.92%,6.51%,6.27%,-5.93%,-15.42%,2.77%,1.07%,-0.43%,-13.54%,-14.27%,Upgrade
