Year,Current,2022
Market Capitalization,289,281
Enterprise Value,289,281
PE Ratio,39.92,24.48
PB Ratio,-36.46,-35.54
P/FCF Ratio,-230.50,-161.71
P/OCF Ratio,-230.50,-161.71
EV/EBITDA Ratio,34.42,23.23
EV/EBIT Ratio,34.42,23.23
EV/FCF Ratio,-230.39,-161.53
Current Ratio,0.27,0.53
Return on Equity (ROE),-79.50%,-114.30%
Return on Assets (ROA),3.20%,5.00%
Return on Capital (ROIC),3.70%,5.30%
Earnings Yield,2.52%,4.08%
FCF Yield,-0.43%,-0.62%
Buyback Yield / Dilution,-0.68%,-
Total Shareholder Return,-0.68%,-
