Year,Current,2022,2021
Market Capitalization,153,148,126
Market Cap Growth,-,17.28%,-
Enterprise Value,154,147,124
PE Ratio,155.61,260.38,-865.32
PB Ratio,-26.20,-42.01,-52.65
P/FCF Ratio,105.62,-3965.84,-1804.61
P/OCF Ratio,105.62,-3965.84,-1804.61
EV/EBITDA Ratio,158.31,259.61,-853.23
EV/EBIT Ratio,158.31,259.61,-853.23
EV/FCF Ratio,106.34,-3954.11,-1779.39
Debt / Equity Ratio,-0.20,-,-
Debt / EBITDA Ratio,1.19,-,-
Debt / FCF Ratio,0.80,-,-
Current Ratio,0.19,2.72,12.31
Return on Equity (ROE),-25.30%,-18.60%,-
Return on Assets (ROA),0.80%,0.50%,-
Return on Capital (ROIC),0.80%,0.50%,-
Earnings Yield,0.64%,0.38%,-0.12%
FCF Yield,0.95%,-0.03%,-0.06%
Buyback Yield / Dilution,-98.88%,-,
Total Shareholder Return,-98.88%,-,
