Year,Current,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1995
Market Capitalization,304,565,463,566,463,473,545,351,347,327,300,Upgrade
Market Cap Growth,-,21.83%,-18.15%,22.33%,-2.08%,-13.35%,55.52%,1.19%,5.82%,9.32%,8.31%,Upgrade
Enterprise Value,-19,177,170,732,732,645,722,480,391,382,342,Upgrade
PE Ratio,6.27,11.32,11.35,15.11,12.76,16.11,20.56,14.22,14.84,15.03,13.51,Upgrade
PS Ratio,2.14,3.96,3.78,4.94,4.19,4.61,5.60,3.78,3.96,3.90,3.58,Upgrade
PB Ratio,0.88,1.52,1.39,1.88,1.72,1.89,2.34,1.64,1.73,1.70,1.70,Upgrade
P/FCF Ratio,6.32,9.02,11.68,15.03,11.96,12.90,15.48,12.01,11.40,9.04,11.68,Upgrade
P/OCF Ratio,5.01,8.28,10.95,12.88,11.02,12.49,15.72,12.12,11.31,8.93,9.23,Upgrade
EV/Sales Ratio,1.07,1.24,1.39,6.39,6.63,6.29,7.41,5.18,4.46,4.55,4.09,Upgrade
EV/EBITDA Ratio,2.22,2.45,2.90,13.93,14.63,14.25,16.52,11.54,9.63,9.62,8.41,Upgrade
EV/EBIT Ratio,2.51,2.75,3.28,15.55,16.16,16.18,19.12,13.60,11.65,12.38,10.75,Upgrade
EV/FCF Ratio,3.17,2.83,4.29,19.44,18.92,17.60,20.48,16.43,12.85,10.55,13.35,Upgrade
Debt / Equity Ratio,0.15,0.19,0.26,0.78,1.31,0.98,1.00,0.84,0.45,0.55,0.52,Upgrade
Debt / EBITDA Ratio,0.73,0.97,1.49,4.50,7.07,5.41,5.35,4.33,2.23,2.64,2.25,Upgrade
Debt / FCF Ratio,1.04,1.12,2.21,6.27,9.14,6.69,6.63,6.17,2.97,2.89,3.57,Upgrade
Asset Turnover,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),13.10%,14.00%,12.70%,13.00%,13.90%,12.10%,11.70%,11.80%,11.80%,11.90%,12.80%,Upgrade
Return on Assets (ROA),1.10%,1.30%,1.10%,1.20%,1.20%,1.10%,1.00%,1.00%,1.10%,1.00%,1.10%,Upgrade
Return on Capital (ROIC),1.60%,1.80%,1.50%,1.50%,1.50%,1.40%,1.40%,1.50%,1.50%,1.50%,1.60%,Upgrade
Earnings Yield,15.45%,8.83%,8.81%,6.62%,7.84%,6.21%,4.86%,7.03%,6.74%,6.66%,7.40%,Upgrade
FCF Yield,15.82%,11.09%,8.56%,6.65%,8.36%,7.75%,6.46%,8.33%,8.77%,11.06%,8.56%,Upgrade
Dividend Yield,5.96%,2.90%,3.40%,2.69%,3.13%,2.90%,2.42%,3.64%,3.59%,3.71%,3.95%,Upgrade
Payout Ratio,36.50%,32.70%,38.60%,40.60%,39.70%,46.30%,49.30%,51.60%,53.30%,55.70%,53.20%,Upgrade
Buyback Yield / Dilution,0.06%,-0.81%,-0.30%,-0.41%,-0.57%,-0.76%,-1.10%,-0.44%,-0.47%,-0.57%,-0.29%,Upgrade
Total Shareholder Return,6.02%,2.09%,3.10%,2.28%,2.56%,2.13%,1.32%,3.20%,3.12%,3.14%,3.66%,Upgrade
