Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,"2,545","2,712","3,045","3,735","4,719",-,-,-
Market Cap Growth,-,-10.92%,-18.48%,-20.86%,-,-,-,-
Enterprise Value,"3,006","3,313","3,168","3,538","5,025","1,087",241,477
PE Ratio,6.34,6.21,6.79,35.08,10.84,-,-,-
PS Ratio,1.71,1.79,2.30,4.68,3.39,-,-,-
PB Ratio,1.06,1.10,1.40,1.51,1.76,-,-,-
P/FCF Ratio,2.91,-8.99,9.65,1.04,9.03,-,-,-
P/OCF Ratio,2.78,-10.18,9.03,1.03,9.36,-,-,-
EV/Sales Ratio,2.02,2.18,2.39,4.43,3.61,0.90,0.23,0.50
EV/EBITDA Ratio,5.08,5.12,4.92,22.00,7.57,2.22,0.52,1.14
EV/EBIT Ratio,6.04,5.93,5.51,41.04,8.60,2.46,0.58,1.25
EV/FCF Ratio,3.43,-10.97,10.04,0.98,9.61,-1.96,0.24,1.19
Debt / Equity Ratio,1.51,1.61,1.95,1.96,1.23,1.53,1.73,2.07
Debt / EBITDA Ratio,6.09,6.10,6.58,30.12,4.95,6.48,6.68,7.17
Debt / FCF Ratio,4.12,-13.08,13.44,1.35,6.28,-5.72,3.01,7.52
Asset Turnover,0.07,0.07,0.06,0.04,0.07,0.07,0.06,-
Return on Equity (ROE),16.50%,18.10%,19.60%,4.60%,18.10%,16.90%,19.20%,-
Return on Assets (ROA),1.70%,1.90%,2.00%,0.50%,2.10%,1.70%,1.80%,-
Return on Capital (ROIC),2.10%,2.40%,2.60%,0.40%,2.80%,2.40%,2.40%,-
Earnings Yield,15.76%,16.11%,14.74%,2.85%,9.23%,-,-,-
FCF Yield,34.41%,-11.13%,10.36%,96.25%,11.08%,-,-,-
Dividend Yield,5.35%,7.45%,5.38%,5.41%,-,-,-,-
Payout Ratio,50.30%,46.20%,36.50%,189.80%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,0.00%,0.02%,-2.36%,-2.13%,-3.47%,1.52%,-,
Total Shareholder Return,5.35%,7.45%,5.41%,3.05%,-2.13%,-3.47%,1.52%,-
