Year,Current,2022,2021
Market Capitalization,88,286,278
Market Cap Growth,-,2.79%,-
Enterprise Value,88,286,278
PE Ratio,41.25,41.10,74.23
PB Ratio,-21.88,-21.88,-15.34
P/FCF Ratio,-113.78,-113.78,-828.62
P/OCF Ratio,-113.78,-113.78,-828.62
EV/EBITDA Ratio,11.80,38.22,74.06
EV/EBIT Ratio,11.80,38.22,74.06
EV/FCF Ratio,-113.87,-113.87,-826.72
Debt / Equity Ratio,-0.11,-0.11,-
Debt / EBITDA Ratio,0.20,0.20,-
Debt / FCF Ratio,-0.60,-0.60,-
Current Ratio,0.40,0.40,0.96
Return on Equity (ROE),-53.40%,-53.40%,-49.60%
Return on Assets (ROA),3.80%,3.80%,2.20%
Return on Capital (ROIC),4.20%,4.20%,2.20%
Earnings Yield,7.89%,2.43%,1.35%
FCF Yield,-2.85%,-0.88%,-0.12%
Buyback Yield / Dilution,-42.55%,-42.55%,-
Total Shareholder Return,-42.55%,-42.55%,-
