Year,Current,2022,2021
Market Capitalization,132,129,-
Enterprise Value,136,132,0
PE Ratio,-77.42,-77.42,-
PB Ratio,-20.38,-20.38,-
P/FCF Ratio,-222.70,-222.70,-
P/OCF Ratio,-222.70,-222.70,-
EV/EBITDA Ratio,-79.48,-79.48,-8.93
EV/EBIT Ratio,-79.48,-79.48,-8.93
EV/FCF Ratio,-228.61,-228.61,-
Debt / Equity Ratio,-0.54,-0.54,0.18
Debt / EBITDA Ratio,-2.05,-2.05,-9.03
Debt / FCF Ratio,-5.91,-5.91,-
Current Ratio,0.03,0.03,0.00
Return on Equity (ROE),53.20%,53.20%,-
Return on Assets (ROA),-1.40%,-1.40%,-
Return on Capital (ROIC),-1.40%,-1.40%,-
Earnings Yield,-1.26%,-1.29%,-
FCF Yield,-0.44%,-0.45%,-
Buyback Yield / Dilution,-740.55%,-740.55%,-
Total Shareholder Return,-740.55%,-740.55%,-
