Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,"5,014","4,549","5,567","4,915","6,962",-,-,-
Market Cap Growth,-,-18.29%,13.27%,-29.40%,-,-,-,-
Enterprise Value,"12,019","11,385","12,199","9,850","9,683","2,440",899,283
PE Ratio,8.15,9.75,8.91,12.68,13.98,-,-,-
PS Ratio,3.83,3.78,5.45,6.12,9.70,-,-,-
PB Ratio,0.85,0.77,0.94,0.86,1.17,-,-,-
P/FCF Ratio,18.17,20.94,-4.54,-3.15,-2.75,-,-,-
P/OCF Ratio,18.17,20.94,-4.54,-3.15,-2.75,-,-,-
EV/Sales Ratio,9.14,9.47,11.94,12.26,13.49,6.28,5.63,9.81
EV/EBITDA Ratio,12.18,14.53,14.24,18.03,15.21,8.71,7.00,14.31
EV/EBIT Ratio,12.18,14.53,14.24,18.03,15.21,8.71,7.00,14.31
EV/FCF Ratio,43.38,52.40,-9.94,-6.31,-3.83,-0.77,-0.67,-0.30
Debt / Equity Ratio,1.25,1.24,1.19,0.92,0.51,0.79,0.62,0.72
Debt / EBITDA Ratio,7.48,9.29,8.26,9.69,4.77,9.17,7.16,24.91
Debt / FCF Ratio,26.65,33.52,-5.77,-3.39,-1.20,-0.81,-0.69,-0.52
Asset Turnover,0.10,0.09,0.08,0.08,0.09,0.09,0.08,0.04
Return on Equity (ROE),10.70%,8.00%,10.70%,6.90%,9.20%,8.20%,9.10%,4.10%
Return on Assets (ROA),4.60%,3.50%,4.90%,3.80%,6.20%,4.60%,5.30%,2.60%
Return on Capital (ROIC),4.90%,3.90%,4.60%,3.90%,6.20%,4.60%,4.80%,2.90%
Earnings Yield,12.40%,10.25%,11.22%,7.89%,7.15%,-,-,-
FCF Yield,5.50%,4.78%,-22.04%,-31.75%,-36.30%,-,-,-
Dividend Yield,10.51%,11.17%,8.74%,12.34%,3.17%,-,-,-
Payout Ratio,62.00%,109.30%,78.00%,156.00%,44.40%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,0.83%,-0.44%,-0.94%,-19.72%,-121.71%,-118.27%,-214.28%,-
Total Shareholder Return,11.31%,10.74%,7.80%,-7.38%,-118.54%,-118.27%,-214.28%,-
