Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,44,19,457,3,2,7,1,10,10,10,20,Upgrade
Market Cap Growth,-,-95.90%,13518.86%,69.35%,-72.42%,884.17%,-93.00%,1.01%,3.13%,-49.47%,-71.85%,Upgrade
Enterprise Value,64,49,475,3,1,7,3,11,10,12,20,Upgrade
PE Ratio,-0.83,-0.36,-10.17,-0.67,-0.51,-2.01,-0.25,-9.17,-5.57,-8.39,-6.99,Upgrade
PS Ratio,0.55,0.22,10.43,0.76,-,-,-,-,-,-,-,Upgrade
PB Ratio,0.59,0.24,3.98,0.44,3.71,33.93,-0.24,-12.56,-1722.81,-5.93,-142.72,Upgrade
P/FCF Ratio,8.80,-1.02,-4.38,-0.59,-0.96,-3.25,-0.53,-11.93,-20.23,-24.27,-24.31,Upgrade
P/OCF Ratio,4.10,1.32,19.93,-18.15,-0.96,-3.26,-0.54,-11.95,-20.31,-24.27,-24.37,Upgrade
EV/Sales Ratio,0.88,0.58,10.83,0.58,-,-,-,-,-,-,-,Upgrade
EV/EBITDA Ratio,5.08,2.71,-16.70,-9.06,-0.39,-2.02,-1.14,-10.46,-5.47,-10.19,-6.03,Upgrade
EV/EBIT Ratio,-1.47,-1.05,-11.03,-0.53,-0.39,-2.02,-1.14,-10.45,-5.47,-10.19,-6.03,Upgrade
EV/FCF Ratio,14.19,-2.66,-4.54,-0.45,-0.60,-2.99,-2.47,-12.35,-19.38,-28.28,-24.18,Upgrade
Debt / Equity Ratio,0.38,0.41,0.20,0.05,0.04,12.43,-1.03,-0.49,-,-1.45,-10.70,Upgrade
Debt / EBITDA Ratio,2.04,1.73,-0.81,-1.23,-0.01,-0.80,-1.08,-0.39,-,-2.14,-0.45,Upgrade
Debt / FCF Ratio,5.71,-1.69,-0.22,-0.06,-0.01,-1.19,-2.34,-0.46,-,-5.95,-1.82,Upgrade
Current Ratio,0.35,0.57,0.57,0.80,1.79,1.06,0.16,0.08,1.66,0.37,0.92,Upgrade
Asset Turnover,0.47,0.50,0.53,0.44,0,0,0,0,0,0,0,Upgrade
Return on Equity (ROE),-61.80%,-56.00%,-62.90%,335.60%,-745.40%,216.70%,70.60%,38.50%,105.10%,101.90%,-1221.50%,Upgrade
Return on Assets (ROA),-33.80%,-31.40%,-54.20%,-49.20%,-167.80%,-265.80%,-640.60%,-229.50%,-242.80%,-113.00%,-162.70%,Upgrade
Return on Capital (ROIC),-32.90%,-28.90%,-61.50%,1472.10%,-1555.80%,1031.10%,85.50%,36.20%,156.40%,-397.90%,-1228.20%,Upgrade
Earnings Yield,-131.95%,-281.24%,-9.83%,-149.87%,-196.71%,-49.64%,-406.22%,-10.91%,-17.95%,-11.92%,-14.30%,Upgrade
FCF Yield,11.37%,-98.34%,-22.85%,-169.47%,-104.05%,-30.77%,-187.17%,-8.38%,-4.94%,-4.12%,-4.11%,Upgrade
Buyback Yield / Dilution,-17.70%,-35.29%,-693.25%,-574.72%,-86.21%,-64.28%,-13.76%,-388.48%,-42.24%,-,4.39%,Upgrade
Total Shareholder Return,-17.70%,-35.29%,-693.25%,-574.72%,-86.21%,-64.28%,-13.76%,-388.48%,-42.24%,-,4.39%,Upgrade
