Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Market Capitalization,450,667,660,431,588,484,639,523,326,228,173,Upgrade
Market Cap Growth,-,1.11%,53.07%,-26.77%,21.48%,-24.24%,22.19%,60.54%,42.92%,31.53%,38.69%,Upgrade
Enterprise Value,728,"1,008",661,168,717,523,656,505,390,346,277,Upgrade
PE Ratio,5.80,8.98,11.65,16.45,12.41,10.97,17.52,19.77,16.32,15.32,18.73,Upgrade
PS Ratio,1.84,2.83,3.24,2.75,3.44,3.11,4.57,4.44,3.23,2.72,2.48,Upgrade
PB Ratio,0.81,1.25,1.21,0.82,1.17,1.03,1.58,1.61,1.18,0.94,1.02,Upgrade
P/FCF Ratio,3.64,5.77,9.22,12.81,6.96,7.67,11.94,13.18,11.49,9.77,5.75,Upgrade
P/OCF Ratio,3.54,5.61,8.74,11.74,6.82,7.54,11.43,12.19,10.76,8.37,5.30,Upgrade
EV/Sales Ratio,2.97,4.27,3.25,1.07,4.19,3.36,4.69,4.29,3.86,4.13,3.95,Upgrade
EV/EBITDA Ratio,6.36,9.39,8.02,4.61,10.20,8.43,11.33,11.00,10.80,12.68,15.12,Upgrade
EV/EBIT Ratio,6.65,9.85,8.52,5.25,10.84,9.06,12.08,11.83,12.15,14.24,18.74,Upgrade
EV/FCF Ratio,5.89,8.71,9.25,4.99,8.47,8.28,12.25,12.73,13.76,14.82,9.17,Upgrade
Debt / Equity Ratio,0.95,1.00,0.27,0.74,0.67,0.43,0.32,0.37,0.49,0.62,0.81,Upgrade
Debt / EBITDA Ratio,4.62,4.94,1.80,10.72,4.79,3.22,2.25,2.62,3.72,5.46,7.56,Upgrade
Debt / FCF Ratio,4.28,4.59,2.08,11.60,3.98,3.16,2.43,3.03,4.74,6.38,4.59,Upgrade
Asset Turnover,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,Upgrade
Return on Equity (ROE),14.90%,14.20%,10.50%,5.10%,9.60%,9.90%,9.90%,8.70%,7.60%,7.60%,6.80%,Upgrade
Return on Assets (ROA),1.30%,1.20%,0.90%,0.40%,1.00%,1.00%,0.90%,0.70%,0.60%,0.60%,0.50%,Upgrade
Return on Capital (ROIC),1.70%,1.60%,1.30%,0.50%,1.40%,1.30%,1.30%,1.20%,1.00%,1.00%,0.80%,Upgrade
Earnings Yield,17.60%,11.13%,8.58%,6.08%,8.06%,9.12%,5.71%,5.06%,6.13%,6.53%,5.34%,Upgrade
FCF Yield,27.50%,17.34%,10.84%,7.81%,14.37%,13.04%,8.38%,7.59%,8.71%,10.23%,17.39%,Upgrade
Dividend Yield,0.80%,0.54%,0.56%,0.88%,0.65%,0.79%,0.57%,0.65%,0.97%,1.08%,1.05%,Upgrade
Payout Ratio,4.60%,4.90%,6.60%,14.40%,8.10%,8.60%,9.70%,12.30%,15.30%,16.30%,19.60%,Upgrade
Buyback Yield / Dilution,2.71%,3.83%,1.58%,0.58%,1.01%,-5.36%,-7.74%,-7.20%,-28.64%,-35.35%,-2.24%,Upgrade
Total Shareholder Return,3.52%,4.37%,2.15%,1.46%,1.65%,-4.57%,-7.17%,-6.56%,-27.67%,-34.27%,-1.19%,Upgrade
