Year,Current,2022
Market Capitalization,139,135
Enterprise Value,140,136
PE Ratio,530.00,-916.12
PB Ratio,-31.54,-31.54
P/FCF Ratio,-149.35,-149.35
P/OCF Ratio,-149.35,-149.35
EV/EBITDA Ratio,-957.24,-957.24
EV/EBIT Ratio,-957.24,-957.24
EV/FCF Ratio,-150.76,-150.76
Debt / Equity Ratio,-0.31,-0.31
Debt / EBITDA Ratio,-9.45,-9.45
Debt / FCF Ratio,-1.49,-1.49
Current Ratio,0.05,0.05
Return on Equity (ROE),4.00%,4.00%
Return on Assets (ROA),-0.10%,-0.10%
Return on Capital (ROIC),-0.10%,-0.10%
Earnings Yield,-0.11%,-0.11%
FCF Yield,-0.65%,-0.67%
Buyback Yield / Dilution,-184.56%,-
Total Shareholder Return,-184.56%,-
