Year,Current,2022,2021
Market Capitalization,102,100,282
Market Cap Growth,-,-64.38%,-
Enterprise Value,103,102,281
PE Ratio,206.40,28.46,83.28
PB Ratio,-19.30,-19.30,-19.20
P/FCF Ratio,1039.63,1024.56,-260.45
P/OCF Ratio,1039.63,1024.56,-260.45
EV/EBITDA Ratio,26.58,26.20,82.96
EV/EBIT Ratio,26.58,26.20,82.96
EV/FCF Ratio,1051.17,1036.10,-259.47
Debt / Equity Ratio,-0.24,-0.24,-
Debt / EBITDA Ratio,0.32,0.32,-
Debt / FCF Ratio,12.49,12.49,-
Current Ratio,0.09,0.09,3.61
Return on Equity (ROE),-37.60%,-37.60%,-
Return on Assets (ROA),2.60%,2.60%,-
Return on Capital (ROIC),2.90%,2.90%,-
Earnings Yield,3.46%,3.51%,1.20%
FCF Yield,0.10%,0.10%,-0.38%
Buyback Yield / Dilution,-60.00%,-60.00%,-
Total Shareholder Return,-60.00%,-60.00%,-
