Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,57,70,73,358,-,-,-
Market Cap Growth,-,-3.50%,-79.58%,-,-,-,-
Enterprise Value,132,145,117,-21,-212,-112,-17
PE Ratio,-2.26,-2.26,-0.68,-16.64,-,-,-
PS Ratio,0.05,0.06,0.03,0.29,-,-,-
PB Ratio,0.53,0.65,0.67,0.76,-,-,-
P/FCF Ratio,-0.70,-0.70,-0.34,2.76,-,-,-
P/OCF Ratio,-0.83,-0.83,-0.42,2.60,-,-,-
EV/Sales Ratio,0.11,0.13,0.05,-0.02,-0.21,-0.22,-0.07
EV/EBITDA Ratio,8.78,9.67,-1.74,7.02,-11.22,-3.34,0.19
EV/EBIT Ratio,-4.66,-4.66,-1.09,1.28,-14.02,-3.67,0.18
EV/FCF Ratio,-1.44,-1.44,-0.55,-0.16,-1.90,-1.71,0.20
Debt / Equity Ratio,3.11,3.11,4.53,0.75,-0.12,-0.10,-0.06
Debt / EBITDA Ratio,22.37,22.37,-7.35,-116.45,1.95,1.19,-0.25
Debt / FCF Ratio,-3.33,-3.33,-2.32,2.71,0.33,0.61,-0.26
Current Ratio,0.96,0.96,0.99,1.81,1.28,1.07,0.86
Asset Turnover,0.95,0.95,1.67,1.23,2.36,2.04,-
Return on Equity (ROE),-10.80%,-10.80%,-31.70%,-4.40%,7.30%,7.10%,-
Return on Assets (ROA),-2.60%,-2.60%,-8.00%,-2.20%,-6.00%,-11.00%,-
Return on Capital (ROIC),-6.20%,-6.20%,-21.30%,-20.70%,-23.80%,-82.80%,-
Earnings Yield,-54.61%,-44.26%,-147.45%,-6.01%,-,-,-
FCF Yield,-176.58%,-143.11%,-291.70%,36.21%,-,-,-
Buyback Yield / Dilution,-0.01%,-0.01%,-6.02%,-113.02%,-1.61%,-,-
Total Shareholder Return,-0.01%,-0.01%,-6.02%,-113.02%,-1.61%,-,-
