Year,Current,2022,2021,2020
Market Capitalization,"1,089",946,"2,595","6,932"
Market Cap Growth,-,-63.54%,-62.56%,-
Enterprise Value,832,660,"2,325","6,361"
PE Ratio,-3.42,-3.18,-10.75,-56.68
PS Ratio,3.53,3.69,20.21,73.44
PB Ratio,1.32,1.09,2.63,12.81
P/FCF Ratio,-5.49,-5.47,-16.85,-72.14
P/OCF Ratio,-5.82,-5.80,-17.95,-75.60
EV/Sales Ratio,2.70,2.57,18.10,67.38
EV/EBITDA Ratio,-2.71,-2.33,-10.11,-53.41
EV/EBIT Ratio,-2.56,-2.24,-9.95,-52.66
EV/FCF Ratio,-4.08,-3.81,-15.09,-66.19
Asset Turnover,0.19,0.16,0.09,0.15
Return on Equity (ROE),-33.50%,-33.70%,-22.50%,-71.50%
Return on Assets (ROA),-17.80%,-18.70%,-16.10%,-19.90%
Return on Capital (ROIC),-21.30%,-22.20%,-29.80%,-62.10%
Earnings Yield,-26.58%,-31.47%,-9.30%,-1.76%
FCF Yield,-16.56%,-18.29%,-5.93%,-1.39%
Buyback Yield / Dilution,-12.38%,-6.04%,-81.92%,-202.53%
Total Shareholder Return,-12.38%,-6.04%,-81.92%,-202.53%
