Year,Current,2022,2021
Market Capitalization,259,251,243
Market Cap Growth,-,3.29%,-
Enterprise Value,259,251,242
PE Ratio,54.58,52.14,41.43
PB Ratio,-57.81,-57.81,-15.34
P/FCF Ratio,-332.78,-332.78,-252.72
P/OCF Ratio,-332.78,-332.78,-252.72
EV/EBITDA Ratio,53.62,52.01,41.20
EV/EBIT Ratio,53.62,52.01,41.20
EV/FCF Ratio,-331.97,-331.97,-251.30
Current Ratio,0.40,0.40,1.19
Return on Equity (ROE),-57.00%,-57.00%,-
Return on Assets (ROA),2.40%,2.40%,-
Return on Capital (ROIC),2.40%,2.40%,-
Earnings Yield,1.86%,1.92%,2.41%
FCF Yield,-0.29%,-0.30%,-0.40%
Buyback Yield / Dilution,-216.09%,-216.09%,-
Total Shareholder Return,-216.09%,-216.09%,-
