Year,Current,2022,2021,2020
Market Capitalization,45,55,-,-
Enterprise Value,36,42,-117,-28
PE Ratio,93.89,2025.23,-,-
PS Ratio,6.03,7.76,-,-
PB Ratio,0.56,0.68,-,-
P/FCF Ratio,32.17,19.71,-,-
P/OCF Ratio,28.71,18.29,-,-
EV/Sales Ratio,4.72,5.89,-21.88,-4.92
EV/EBITDA Ratio,38.20,94.40,116611.00,85.75
EV/EBIT Ratio,53.37,240.08,433.50,45.31
EV/FCF Ratio,25.22,14.97,-89.02,38.49
Debt / Equity Ratio,-,-,0.11,0.09
Debt / EBITDA Ratio,-,-,-5000.00,-12.31
Debt / FCF Ratio,-,-,3.82,-5.52
Asset Turnover,0.03,0.03,0.02,0.02
Return on Equity (ROE),0.60%,0.00%,-0.10%,-0.20%
Return on Assets (ROA),0.20%,0.00%,0.00%,0.00%
Return on Capital (ROIC),0.30%,0.10%,-0.10%,-0.30%
Earnings Yield,1.04%,0.05%,-,-
FCF Yield,3.11%,5.07%,-,-
Buyback Yield / Dilution,-25.55%,12.39%,-,-
Total Shareholder Return,-25.55%,12.39%,-,-
