Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"16,183","22,521","29,778","19,641","21,815","15,427","21,407","20,379","15,966","16,789","18,566",Upgrade
Market Cap Growth,-,-24.37%,51.61%,-9.96%,41.41%,-27.94%,5.05%,27.64%,-4.90%,-9.57%,36.10%,Upgrade
Enterprise Value,"33,837","37,787","39,866","32,959","34,778","29,670","37,983","36,042","30,894","30,365","26,685",Upgrade
PE Ratio,6.87,9.67,11.20,14.85,9.02,7.28,10.17,13.84,9.75,11.87,10.32,Upgrade
PS Ratio,2.02,2.88,3.60,3.02,2.78,2.30,3.17,3.42,2.60,2.93,2.83,Upgrade
PB Ratio,0.88,1.30,1.34,0.85,1.03,0.95,1.32,1.26,1.01,1.07,1.27,Upgrade
P/FCF Ratio,2.89,3.78,12.19,426.99,13.55,5.55,16.61,10.95,7.24,9.23,4.48,Upgrade
P/OCF Ratio,2.67,3.50,11.01,52.94,11.96,5.40,14.46,9.75,6.60,8.09,4.04,Upgrade
EV/Sales Ratio,4.21,4.84,4.82,5.06,4.42,4.41,5.62,6.04,5.03,5.29,4.07,Upgrade
EV/EBITDA Ratio,9.28,10.71,10.31,14.40,9.47,9.49,11.44,13.52,10.99,12.44,8.57,Upgrade
EV/EBIT Ratio,10.57,12.22,11.34,18.34,10.86,10.73,12.75,16.29,13.03,14.99,10.23,Upgrade
EV/FCF Ratio,6.05,6.34,16.32,716.51,21.60,10.68,29.47,19.37,14.00,16.70,6.43,Upgrade
Debt / Equity Ratio,1.11,1.08,0.59,0.71,0.77,1.04,1.18,1.11,1.10,1.07,0.77,Upgrade
Debt / EBITDA Ratio,5.61,5.31,3.38,7.19,4.42,5.42,5.75,6.77,6.21,6.83,3.63,Upgrade
Debt / FCF Ratio,3.65,3.14,5.36,357.93,10.09,6.09,14.81,9.70,7.92,9.17,2.72,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.05,0.05,0.05,0.04,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),13.40%,12.70%,11.80%,5.90%,11.70%,13.10%,12.90%,8.90%,10.40%,9.20%,12.50%,Upgrade
Return on Assets (ROA),1.20%,1.10%,1.30%,0.70%,1.40%,1.50%,1.50%,1.00%,1.20%,1.10%,1.40%,Upgrade
Return on Capital (ROIC),1.50%,1.40%,1.70%,0.90%,1.80%,1.80%,1.90%,1.40%,1.50%,1.40%,2.00%,Upgrade
Earnings Yield,14.77%,10.35%,8.93%,6.74%,11.09%,13.73%,9.83%,7.22%,10.25%,8.42%,9.69%,Upgrade
FCF Yield,34.58%,26.46%,8.20%,0.23%,7.38%,18.01%,6.02%,9.13%,13.82%,10.83%,22.34%,Upgrade
Dividend Yield,5.42%,3.89%,2.72%,3.96%,3.10%,3.29%,2.08%,1.99%,2.63%,2.56%,2.27%,Upgrade
Payout Ratio,37.30%,37.30%,30.20%,58.70%,27.80%,23.80%,21.00%,27.60%,25.60%,30.40%,22.90%,Upgrade
Buyback Yield / Dilution,0.96%,2.28%,1.19%,0.05%,-5.04%,7.45%,3.11%,5.34%,4.19%,5.79%,5.37%,Upgrade
Total Shareholder Return,6.38%,6.17%,3.91%,4.00%,-1.94%,10.74%,5.19%,7.33%,6.82%,8.35%,7.64%,Upgrade
