Year,Current,2022,2021
Market Capitalization,120,361,349
Market Cap Growth,-,3.45%,-
Enterprise Value,121,362,349
PE Ratio,27.16,26.67,71.95
PB Ratio,-28.90,-28.90,-15.04
P/FCF Ratio,-225.69,-225.69,-143.08
P/OCF Ratio,-225.69,-225.69,-143.08
EV/EBITDA Ratio,8.49,25.36,72.05
EV/EBIT Ratio,8.49,25.36,72.05
EV/FCF Ratio,-226.54,-226.54,-143.28
Debt / Equity Ratio,-0.12,-0.12,-0.03
Debt / EBITDA Ratio,0.11,0.11,0.15
Debt / FCF Ratio,-0.94,-0.94,-0.31
Current Ratio,0.08,0.08,0.40
Return on Equity (ROE),-98.00%,-98.00%,-53.20%
Return on Assets (ROA),4.70%,4.70%,1.70%
Return on Capital (ROIC),5.00%,5.00%,1.70%
Earnings Yield,11.28%,3.75%,1.39%
FCF Yield,-1.33%,-0.44%,-0.70%
Buyback Yield / Dilution,-15.73%,-15.73%,-
Total Shareholder Return,-15.73%,-15.73%,-
