Year,Current,2022,2021,2020,2019,2018
Market Capitalization,282,408,"3,147","4,120",-,-
Market Cap Growth,-,-87.04%,-23.62%,-,-,-
Enterprise Value,877,"1,012","3,366","4,063",25,19
PE Ratio,-3.07,-1.37,25.20,51.83,-,-
PS Ratio,0.26,0.53,3.38,7.78,-,-
PB Ratio,0.61,1.04,4.72,7.55,-,-
P/FCF Ratio,-4.74,-1.09,-22.73,-53.28,-,-
P/OCF Ratio,-5.41,-1.21,-27.26,-66.69,-,-
EV/Sales Ratio,0.96,1.32,3.62,7.68,0.07,0.08
EV/EBITDA Ratio,-23.45,-3.19,16.24,29.75,0.25,0.41
EV/EBIT Ratio,-13.39,-2.92,17.97,31.60,0.26,0.44
EV/FCF Ratio,-13.10,-2.71,-24.31,-52.54,-2.93,-1.74
Debt / Equity Ratio,1.86,1.90,0.76,0.57,0.10,0.11
Debt / EBITDA Ratio,-17.12,-2.35,2.44,2.28,0.25,0.43
Debt / FCF Ratio,-9.57,-2.00,-3.65,-4.03,-3.00,-1.82
Current Ratio,2.62,3.55,4.44,5.36,3.10,3.44
Asset Turnover,0.72,0.55,0.71,0.72,0.96,-
Return on Equity (ROE),-30.90%,-59.10%,19.80%,19.70%,32.30%,-
Return on Assets (ROA),-9.20%,-21.40%,9.50%,10.70%,20.60%,-
Return on Capital (ROIC),-4.40%,-20.90%,15.40%,20.80%,28.60%,-
Earnings Yield,-48.94%,-72.97%,3.97%,1.93%,-,-
FCF Yield,-31.71%,-91.48%,-4.40%,-1.88%,-,-
Buyback Yield / Dilution,-2.33%,0.91%,-69.80%,26.41%,-37.41%,-
Total Shareholder Return,-2.33%,0.91%,-69.80%,26.41%,-37.41%,-
