Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Market Capitalization,181,158,148,144,168,137,155,87,61,69,53,Upgrade
Market Cap Growth,-,6.78%,3.12%,-14.36%,21.97%,-11.33%,77.90%,43.52%,-11.87%,30.69%,5.21%,Upgrade
Enterprise Value,211,181,41,48,150,129,219,132,83,69,49,Upgrade
PE Ratio,8.81,10.08,7.94,17.19,13.18,11.05,16.39,13.58,8.84,9.59,7.50,Upgrade
PS Ratio,2.93,2.78,2.71,3.63,3.70,3.17,3.76,2.98,2.13,2.55,2.04,Upgrade
PB Ratio,0.93,0.80,1.02,1.00,1.22,1.07,1.29,1.13,0.97,1.08,0.99,Upgrade
P/FCF Ratio,8.45,8.96,9.99,10.23,14.49,11.28,12.18,15.46,9.09,10.50,6.53,Upgrade
P/OCF Ratio,8.10,8.61,9.60,9.52,12.45,9.62,11.13,11.17,8.45,9.23,5.32,Upgrade
EV/Sales Ratio,3.42,3.18,0.76,1.22,3.32,2.97,5.32,4.54,2.90,2.54,1.89,Upgrade
EV/EBITDA Ratio,9.40,8.67,1.65,3.99,8.50,7.80,13.89,14.10,8.76,6.72,4.94,Upgrade
EV/EBIT Ratio,10.47,9.60,1.82,4.94,9.82,8.82,16.00,15.91,9.81,7.49,5.43,Upgrade
EV/FCF Ratio,9.86,10.28,2.80,3.43,13.00,10.56,17.21,23.50,12.39,10.47,6.07,Upgrade
Debt / Equity Ratio,0.50,0.39,0.09,0.12,0.13,0.77,0.87,1.01,0.73,0.40,0.42,Upgrade
Debt / EBITDA Ratio,4.32,3.68,0.51,1.41,1.01,6.01,6.59,8.29,4.85,2.49,2.26,Upgrade
Debt / FCF Ratio,4.53,4.37,0.87,1.21,1.54,8.14,8.16,13.81,6.86,3.88,2.78,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),10.40%,10.70%,12.80%,6.00%,9.40%,10.00%,8.30%,8.70%,10.60%,11.90%,13.10%,Upgrade
Return on Assets (ROA),1.10%,1.10%,1.40%,0.60%,1.00%,1.10%,0.90%,0.80%,1.00%,1.10%,1.10%,Upgrade
Return on Capital (ROIC),1.40%,1.40%,1.80%,0.80%,1.30%,1.20%,1.20%,1.10%,1.20%,1.40%,1.40%,Upgrade
Earnings Yield,9.25%,9.92%,12.59%,5.82%,7.58%,9.05%,6.10%,7.37%,11.31%,10.43%,13.34%,Upgrade
FCF Yield,11.84%,11.16%,10.01%,9.78%,6.90%,8.86%,8.21%,6.47%,11.00%,9.52%,15.30%,Upgrade
Dividend Yield,3.79%,2.96%,2.78%,2.67%,2.18%,2.76%,2.24%,2.79%,3.30%,3.09%,4.00%,Upgrade
Payout Ratio,32.90%,31.20%,22.90%,45.80%,29.10%,30.50%,34.60%,35.50%,31.40%,29.50%,29.90%,Upgrade
Buyback Yield / Dilution,-37.57%,3.36%,6.44%,0.69%,0.82%,-0.73%,-42.83%,-20.16%,8.58%,-1.10%,-2.17%,Upgrade
Total Shareholder Return,-33.81%,6.31%,9.22%,3.36%,3.01%,2.02%,-40.59%,-17.37%,11.88%,1.99%,1.83%,Upgrade
