Year,Current,2022,2021
Market Capitalization,155,436,421
Market Cap Growth,-,3.69%,-
Enterprise Value,155,436,420
PE Ratio,30.47,29.36,51.45
PB Ratio,-23.82,-23.82,-15.06
P/FCF Ratio,-396.03,-396.03,-1074.25
P/OCF Ratio,-396.03,-396.03,-1074.25
EV/EBITDA Ratio,10.45,29.35,51.31
EV/EBIT Ratio,10.45,29.35,51.31
EV/FCF Ratio,-396.00,-396.00,-1071.36
Current Ratio,0.01,0.01,0.93
Return on Equity (ROE),-80.80%,-80.80%,-72.00%
Return on Assets (ROA),4.30%,4.30%,2.40%
Return on Capital (ROIC),4.30%,4.30%,2.40%
Earnings Yield,9.57%,3.41%,1.94%
FCF Yield,-0.71%,-0.25%,-0.09%
Buyback Yield / Dilution,-14.82%,-14.82%,-
Total Shareholder Return,-14.82%,-14.82%,-
