Year,Current,2022
Market Capitalization,306,298
Enterprise Value,306,297
PE Ratio,35.97,30.41
PB Ratio,-29.24,-35.97
P/FCF Ratio,-257.68,-140.40
P/OCF Ratio,-257.68,-140.40
EV/EBITDA Ratio,36.51,30.38
EV/EBIT Ratio,36.51,30.38
EV/FCF Ratio,-257.56,-140.27
Current Ratio,0.92,1.32
Return on Equity (ROE),-87.60%,-96.20%
Return on Assets (ROA),3.70%,4.40%
Return on Capital (ROIC),3.70%,4.40%
Earnings Yield,2.74%,3.29%
FCF Yield,-0.38%,-0.71%
Buyback Yield / Dilution,-25.32%,-
Total Shareholder Return,-25.32%,-
