Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,476,461,448,419,425,387,475,469,395,430,418,Upgrade
Market Cap Growth,-,2.98%,6.88%,-1.46%,9.83%,-18.44%,1.27%,18.55%,-8.15%,3.08%,15.98%,Upgrade
Enterprise Value,483,471,425,406,416,399,501,518,453,453,453,Upgrade
PE Ratio,-50.53,-235.30,17.73,7.93,9.02,-11.81,66.69,15.21,18.83,29.60,15.86,Upgrade
PS Ratio,0.54,0.54,0.55,0.54,0.52,0.50,0.64,0.68,0.62,0.73,0.76,Upgrade
PB Ratio,0.95,0.95,0.84,0.81,0.94,0.97,1.06,1.07,0.97,1.03,1.05,Upgrade
P/FCF Ratio,10.31,6.87,5.74,4.15,5.58,6.08,5.94,7.86,5.81,10.15,9.33,Upgrade
P/OCF Ratio,10.30,6.87,5.83,4.14,5.57,6.07,5.86,7.81,5.80,9.67,9.07,Upgrade
EV/Sales Ratio,0.56,0.56,0.52,0.52,0.51,0.52,0.68,0.75,0.71,0.77,0.83,Upgrade
EV/EBITDA Ratio,-61.54,258.18,11.46,5.70,6.47,-10.16,25.27,10.45,12.79,21.26,12.11,Upgrade
EV/EBIT Ratio,-39.58,-156.06,13.61,6.29,7.09,-8.70,36.53,12.05,15.79,25.47,13.19,Upgrade
EV/FCF Ratio,10.57,7.01,5.45,4.02,5.46,6.27,6.27,8.68,6.66,10.69,10.12,Upgrade
Debt / Equity Ratio,0.07,0.07,0.07,0.17,0.09,0.16,0.14,0.17,0.21,0.14,0.16,Upgrade
Debt / EBITDA Ratio,-4.20,19.19,0.94,1.26,0.62,-1.65,3.23,1.49,2.43,2.74,1.68,Upgrade
Debt / FCF Ratio,0.77,0.52,0.45,0.89,0.52,1.02,0.80,1.24,1.26,1.38,1.41,Upgrade
Asset Turnover,0.38,0.38,0.37,0.37,0.43,0.43,0.43,0.43,0.42,0.41,0.40,Upgrade
Return on Equity (ROE),-2.00%,-0.40%,4.70%,10.70%,10.70%,-7.90%,1.60%,7.00%,4.90%,3.60%,6.70%,Upgrade
Return on Assets (ROA),-0.40%,-0.10%,1.10%,2.50%,2.50%,-1.80%,0.40%,1.90%,1.40%,1.00%,1.90%,Upgrade
Return on Capital (ROIC),-0.60%,-0.10%,1.40%,3.10%,3.10%,-2.50%,0.80%,2.60%,1.90%,1.20%,2.40%,Upgrade
Earnings Yield,-2.10%,-0.42%,5.64%,12.61%,11.09%,-8.46%,1.50%,6.57%,5.31%,3.38%,6.30%,Upgrade
FCF Yield,9.70%,14.56%,17.41%,24.12%,17.93%,16.45%,16.84%,12.73%,17.21%,9.85%,10.72%,Upgrade
Dividend Yield,4.61%,4.61%,4.41%,4.23%,3.89%,4.16%,3.23%,3.14%,3.81%,3.27%,3.18%,Upgrade
Payout Ratio,-200.00%,-1091.70%,75.90%,32.30%,34.30%,-48.10%,206.70%,46.10%,68.70%,93.20%,48.60%,Upgrade
Buyback Yield / Dilution,-4.38%,-3.63%,-5.23%,-3.80%,-1.12%,-3.40%,-2.32%,4.51%,-4.24%,-2.57%,-2.41%,Upgrade
Total Shareholder Return,0.22%,0.98%,-0.82%,0.43%,2.77%,0.76%,0.90%,7.65%,-0.44%,0.70%,0.76%,Upgrade
