Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2013,2012,2011 - 1999
Market Capitalization,289,397,665,429,449,330,333,232,181,111,66,Upgrade
Market Cap Growth,-,-40.32%,55.08%,-4.44%,36.18%,-1.00%,43.35%,28.16%,63.08%,69.45%,59.41%,Upgrade
Enterprise Value,812,819,960,838,857,630,529,381,287,187,114,Upgrade
PE Ratio,7.89,12.28,7.91,12.76,10.91,9.24,8.54,8.51,5.07,-,11.62,Upgrade
PS Ratio,2.70,4.60,6.13,4.65,7.57,6.66,8.56,7.50,6.95,0.77,0.50,Upgrade
PB Ratio,1.38,1.06,1.65,1.26,1.39,1.15,1.20,1.11,0.89,1.48,0.98,Upgrade
P/FCF Ratio,-1.70,-6.36,4.72,24.16,-5.04,-4.44,-4.54,-16.04,-4.76,37.77,-8.85,Upgrade
P/OCF Ratio,-1.70,-6.36,4.72,24.14,-5.05,-4.47,-4.56,-16.47,-4.77,22.34,-15.06,Upgrade
EV/Sales Ratio,7.25,9.49,8.84,9.09,14.46,12.72,13.58,12.29,11.00,1.30,0.87,Upgrade
EV/EBITDA Ratio,15.55,13.90,9.14,16.15,13.82,12.06,10.41,10.56,6.74,19.16,6.69,Upgrade
EV/EBIT Ratio,15.87,13.96,9.17,16.27,13.93,12.17,10.49,10.65,6.79,19.16,8.14,Upgrade
EV/FCF Ratio,-4.45,-13.11,6.81,47.20,-9.63,-8.48,-7.20,-26.29,-7.53,63.69,-15.40,Upgrade
Debt / Equity Ratio,3.24,1.46,1.19,1.36,1.37,1.15,0.78,0.82,0.65,1.40,1.07,Upgrade
Debt / EBITDA Ratio,13.54,9.30,4.59,8.87,7.12,6.35,4.26,4.75,3.12,10.80,4.17,Upgrade
Debt / FCF Ratio,-3.81,-8.77,3.42,25.94,-4.96,-4.46,-2.95,-11.83,-3.48,35.91,-9.61,Upgrade
Asset Turnover,0.11,0.09,0.11,0.12,0.08,0.08,0.08,0.08,0.08,0.82,0.90,Upgrade
Return on Equity (ROE),9.90%,8.30%,22.40%,10.30%,13.60%,12.60%,15.10%,13.20%,19.90%,0.00%,8.90%,Upgrade
Return on Assets (ROA),3.20%,3.20%,8.50%,4.30%,5.70%,6.00%,8.00%,7.10%,11.00%,0.00%,3.90%,Upgrade
Return on Capital (ROIC),3.50%,4.30%,8.20%,4.50%,5.70%,6.20%,7.80%,7.10%,10.20%,4.40%,8.20%,Upgrade
Earnings Yield,11.30%,8.14%,12.65%,7.84%,9.16%,10.83%,11.71%,11.76%,19.72%,-,8.61%,Upgrade
FCF Yield,-61.39%,-15.73%,21.19%,4.14%,-19.85%,-22.54%,-22.04%,-6.23%,-21.00%,2.65%,-11.30%,Upgrade
Dividend Yield,20.12%,17.54%,10.80%,10.11%,9.26%,10.22%,8.54%,12.08%,24.07%,-,-,Upgrade
Payout Ratio,150.00%,212.70%,85.40%,128.90%,100.90%,94.20%,72.90%,102.70%,122.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-1.87%,-7.15%,-7.80%,-9.42%,-3.27%,-8.00%,-19.16%,-35.01%,-42.07%,-3.16%,-1.86%,Upgrade
Total Shareholder Return,18.76%,10.39%,3.00%,0.69%,5.99%,2.22%,-10.62%,-22.93%,-17.99%,-3.16%,-1.86%,Upgrade
