Year,Current,2022,2021,2020
Market Capitalization,717,872,845,-
Market Cap Growth,-,3.16%,-,-
Enterprise Value,717,873,846,0
PE Ratio,25.98,25.03,86.57,-
PB Ratio,-24.81,-26.54,-14.63,-
P/FCF Ratio,-347.08,-638.11,-536.93,-
P/OCF Ratio,-347.08,-638.11,-536.93,-
EV/EBITDA Ratio,20.59,25.04,86.60,-3.17
EV/EBIT Ratio,20.59,25.04,86.60,-3.17
EV/FCF Ratio,-347.54,-638.51,-537.14,-
Debt / Equity Ratio,-0.04,-0.02,-0.01,-5.62
Debt / EBITDA Ratio,0.08,0.02,0.06,-3.17
Debt / FCF Ratio,-0.54,-0.52,-0.38,-
Current Ratio,0.16,0.13,0.54,0.01
Return on Equity (ROE),-54.30%,-101.90%,-18.20%,-
Return on Assets (ROA),3.10%,5.00%,1.40%,-
Return on Capital (ROIC),3.10%,5.00%,1.40%,-
Earnings Yield,4.86%,4.00%,1.16%,-
FCF Yield,-0.19%,-0.16%,-0.19%,-
Buyback Yield / Dilution,-3.17%,-3.17%,-457.36%,-
Total Shareholder Return,-3.17%,-3.17%,-457.36%,-
