Year,Current,2022,2021,2020
Market Capitalization,40,51,121,134
Market Cap Growth,-,-57.91%,-9.84%,-
Enterprise Value,43,53,121,133
PE Ratio,-14.66,-6.60,-133.93,-236.46
PB Ratio,-9.88,-11.79,-61.81,-1111.31
P/FCF Ratio,-45.37,-34.75,-155.04,-1150.78
P/OCF Ratio,-45.37,-34.75,-155.04,-1150.78
EV/EBITDA Ratio,-15.60,-6.92,-135.52,-234.69
EV/EBIT Ratio,-15.60,-6.92,-135.52,-234.69
EV/FCF Ratio,-47.87,-36.26,-156.01,-1142.16
Debt / Equity Ratio,-0.56,-0.51,-0.50,-
Debt / EBITDA Ratio,-0.83,-0.29,-1.09,-
Debt / FCF Ratio,-2.55,-1.52,-1.25,-
Current Ratio,0.02,0.02,0.13,15.54
Return on Equity (ROE),89.00%,223.00%,165.40%,-
Return on Assets (ROA),-17.90%,-31.50%,-1.00%,-
Return on Capital (ROIC),-19.90%,-34.20%,-1.00%,-
Earnings Yield,-8.94%,-15.15%,-0.75%,-0.42%
FCF Yield,-2.89%,-2.88%,-0.64%,-0.09%
Buyback Yield / Dilution,48.67%,49.80%,-298.75%,-
Total Shareholder Return,48.67%,49.80%,-298.75%,-
