Year,Current,2022,2021,2020,2019
Market Capitalization,316,470,517,-,-
Market Cap Growth,-,-9.08%,-,-,-
Enterprise Value,167,388,120,-262,-124
PE Ratio,6.54,10.49,12.18,-,-
PS Ratio,2.87,4.54,6.21,-,-
PB Ratio,1.21,1.86,2.20,-,-
P/FCF Ratio,7.40,10.33,18.49,-,-
P/OCF Ratio,7.31,10.22,18.03,-,-
EV/Sales Ratio,1.52,3.74,1.44,-4.00,-2.34
EV/EBITDA Ratio,2.40,6.01,2.51,-6.95,-4.03
EV/EBIT Ratio,2.46,6.17,2.54,-7.04,-4.09
EV/FCF Ratio,3.91,8.52,4.29,-5.18,-4.37
Debt / Equity Ratio,0.76,0.70,0.12,0.21,0.49
Debt / EBITDA Ratio,2.87,2.76,0.59,0.75,1.73
Debt / FCF Ratio,4.66,3.91,1.02,0.56,1.88
Asset Turnover,0.04,0.04,0.04,0.04,-
Return on Equity (ROE),19.50%,18.70%,20.90%,29.60%,-
Return on Assets (ROA),1.50%,1.50%,1.80%,2.10%,-
Return on Capital (ROIC),2.30%,2.30%,2.50%,2.40%,-
Earnings Yield,15.23%,9.54%,8.21%,-,-
FCF Yield,13.52%,9.68%,5.41%,-,-
Dividend Yield,3.55%,2.20%,1.00%,-,-
Payout Ratio,16.10%,23.00%,10.60%,0.00%,0.00%
Buyback Yield / Dilution,-0.07%,-0.13%,-5.89%,-,-
Total Shareholder Return,3.48%,2.08%,-4.89%,-,-
