Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Market Capitalization,65,69,85,76,91,91,105,99,80,81,72,Upgrade
Market Cap Growth,-,-18.79%,11.96%,-16.68%,0.30%,-13.31%,5.43%,23.81%,-0.52%,11.60%,18.07%,Upgrade
Enterprise Value,96,100,42,66,99,88,94,76,70,67,78,Upgrade
PE Ratio,11.77,12.07,13.71,16.62,22.25,22.67,30.96,28.22,24.00,25.50,19.28,Upgrade
PS Ratio,2.47,2.62,3.46,3.56,4.40,4.53,5.53,5.46,4.68,4.87,4.23,Upgrade
PB Ratio,0.80,0.85,0.96,0.88,1.10,1.14,1.33,1.31,1.08,1.12,1.11,Upgrade
P/FCF Ratio,8.41,8.91,10.70,14.56,18.09,17.12,24.06,25.93,17.79,21.65,15.27,Upgrade
P/OCF Ratio,7.99,8.47,9.92,13.52,15.58,14.83,17.95,23.10,16.14,18.53,13.41,Upgrade
EV/Sales Ratio,3.66,3.80,1.73,3.09,4.77,4.38,4.95,4.17,4.10,4.06,4.57,Upgrade
EV/EBITDA Ratio,12.46,12.96,5.08,10.56,17.75,16.36,17.29,14.71,14.39,14.99,14.40,Upgrade
EV/EBIT Ratio,14.01,14.57,5.67,12.21,20.78,19.13,20.52,17.68,17.35,18.01,16.54,Upgrade
EV/FCF Ratio,12.45,12.95,5.35,12.63,19.60,16.56,21.54,19.82,15.61,18.03,16.49,Upgrade
Debt / Equity Ratio,0.52,0.50,0.29,0.38,0.46,0.35,0.38,0.29,0.33,0.31,0.35,Upgrade
Debt / EBITDA Ratio,5.22,5.29,3.02,5.29,6.82,5.18,5.53,4.29,5.00,5.00,4.24,Upgrade
Debt / FCF Ratio,5.67,5.29,3.17,6.33,7.54,5.25,6.89,5.78,5.43,6.01,4.86,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.04,Upgrade
Return on Equity (ROE),7.80%,7.10%,7.10%,5.40%,5.00%,5.10%,4.40%,4.60%,4.60%,4.50%,5.70%,Upgrade
Return on Assets (ROA),0.90%,0.80%,0.90%,0.70%,0.70%,0.70%,0.70%,0.70%,0.70%,0.60%,0.80%,Upgrade
Return on Capital (ROIC),1.10%,1.00%,1.10%,0.80%,0.80%,0.90%,0.90%,0.90%,0.90%,0.80%,1.00%,Upgrade
Earnings Yield,8.78%,8.29%,7.29%,6.02%,4.49%,4.41%,3.23%,3.54%,4.17%,3.92%,5.19%,Upgrade
FCF Yield,11.89%,11.22%,9.34%,6.87%,5.53%,5.84%,4.16%,3.86%,5.62%,4.62%,6.55%,Upgrade
Dividend Yield,3.15%,5.63%,3.62%,3.77%,3.14%,2.66%,1.87%,1.72%,2.09%,2.06%,2.30%,Upgrade
Payout Ratio,48.10%,70.10%,51.40%,63.60%,70.60%,60.60%,58.20%,48.30%,49.10%,50.90%,42.40%,Upgrade
Buyback Yield / Dilution,-0.25%,-0.25%,2.32%,1.94%,1.27%,1.28%,-0.00%,-1.99%,-0.67%,-0.41%,0.41%,Upgrade
Total Shareholder Return,2.90%,5.38%,5.94%,5.71%,4.41%,3.93%,1.86%,-0.27%,1.42%,1.65%,2.71%,Upgrade
