Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2005
Market Capitalization,140,201,173,135,187,192,182,158,148,133,126,Upgrade
Market Cap Growth,-,16.37%,28.15%,-27.93%,-2.28%,5.31%,15.54%,6.53%,11.32%,5.56%,0.30%,Upgrade
Enterprise Value,428,416,19,113,390,453,457,478,452,372,255,Upgrade
PE Ratio,6.12,10.03,10.54,9.37,14.84,29.36,24.81,20.39,15.11,15.62,14.27,Upgrade
PS Ratio,1.96,2.95,2.81,2.32,3.53,3.68,3.61,2.96,2.98,2.94,2.85,Upgrade
PB Ratio,0.63,0.95,0.86,0.71,0.99,1.07,1.00,0.89,0.86,0.79,0.76,Upgrade
P/FCF Ratio,6.20,9.10,9.12,7.22,10.79,8.18,9.66,9.24,8.01,9.63,5.62,Upgrade
P/OCF Ratio,5.97,8.87,8.93,6.84,10.30,8.20,9.34,8.68,7.65,9.18,5.43,Upgrade
EV/Sales Ratio,6.06,6.09,0.31,1.94,7.35,8.70,9.07,8.98,9.11,8.23,5.77,Upgrade
EV/EBITDA Ratio,15.54,15.30,0.86,5.70,23.74,32.73,41.98,37.51,30.74,27.34,18.46,Upgrade
EV/EBIT Ratio,16.87,16.64,0.96,6.41,25.94,37.15,51.14,46.33,35.47,32.66,21.85,Upgrade
EV/FCF Ratio,19.17,18.79,1.00,6.04,22.47,19.34,24.24,28.00,24.49,26.99,11.38,Upgrade
Debt / Equity Ratio,1.44,1.14,0.02,0.70,1.35,1.70,1.73,2.07,1.90,1.57,0.94,Upgrade
Debt / EBITDA Ratio,11.40,8.92,0.22,6.75,15.52,22.06,29.12,28.66,22.08,19.35,11.40,Upgrade
Debt / FCF Ratio,14.06,10.96,0.26,7.15,14.69,13.03,16.82,21.39,17.59,19.10,7.02,Upgrade
Asset Turnover,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,Upgrade
Return on Equity (ROE),9.50%,9.50%,8.30%,7.50%,6.80%,3.70%,4.10%,4.40%,5.70%,5.10%,5.20%,Upgrade
Return on Assets (ROA),1.10%,1.10%,0.90%,0.80%,0.70%,0.40%,0.40%,0.40%,0.60%,0.60%,0.60%,Upgrade
Return on Capital (ROIC),1.20%,1.40%,1.20%,0.90%,0.70%,0.60%,0.40%,0.50%,0.70%,0.70%,0.80%,Upgrade
Earnings Yield,14.74%,9.97%,9.49%,10.68%,6.74%,3.41%,4.03%,4.90%,6.62%,6.40%,7.01%,Upgrade
FCF Yield,16.13%,10.99%,10.97%,13.84%,9.27%,12.22%,10.35%,10.83%,12.48%,10.38%,17.79%,Upgrade
Dividend Yield,4.62%,2.78%,2.85%,3.57%,2.44%,2.21%,2.29%,2.60%,2.62%,2.30%,1.92%,Upgrade
Payout Ratio,28.70%,26.20%,28.50%,31.70%,33.90%,60.00%,52.20%,48.60%,36.20%,32.90%,26.30%,Upgrade
Buyback Yield / Dilution,0.83%,1.03%,4.18%,4.02%,3.24%,-1.68%,-1.77%,0.17%,2.94%,2.66%,-0.01%,Upgrade
Total Shareholder Return,5.52%,3.82%,7.03%,7.59%,5.67%,0.53%,0.52%,2.77%,5.56%,4.96%,1.91%,Upgrade
