Year,Current,2021
Market Capitalization,175,606
Enterprise Value,175,607
PE Ratio,41.24,46.76
PB Ratio,-29.34,-18.35
P/FCF Ratio,-814.44,-328.41
P/OCF Ratio,-814.44,-328.41
EV/EBITDA Ratio,10.89,46.79
EV/EBIT Ratio,10.89,46.79
EV/FCF Ratio,-814.77,-328.65
Debt / Equity Ratio,-0.03,-0.02
Debt / EBITDA Ratio,0.04,0.04
Debt / FCF Ratio,-0.83,-0.27
Current Ratio,0.56,1.76
Return on Equity (ROE),-62.40%,-90.20%
Return on Assets (ROA),3.10%,2.60%
Return on Capital (ROIC),3.20%,2.60%
Earnings Yield,8.89%,2.14%
FCF Yield,-0.43%,-0.30%
