Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,111,87,68,94,29,13,11,13,7,9,20,Upgrade
Market Cap Growth,-,26.90%,-26.94%,226.54%,117.78%,24.92%,-21.35%,104.63%,-27.36%,-54.93%,-37.19%,Upgrade
Enterprise Value,103,81,61,71,28,11,10,12,8,11,21,Upgrade
PE Ratio,6.21,5.60,22.40,9.69,7.35,3.51,-42.32,957.04,-0.63,-0.34,-3.13,Upgrade
PS Ratio,2.04,1.85,2.65,3.58,1.10,0.56,0.52,0.56,0.38,0.45,2.25,Upgrade
PB Ratio,2.16,1.80,2.10,3.13,2.42,1.73,3.02,3.84,1.93,0.67,0.51,Upgrade
P/FCF Ratio,9.18,13.85,-16.86,10.24,42.28,1.79,9.26,3.51,-7.75,18.25,8.88,Upgrade
P/OCF Ratio,8.97,13.39,-26.00,10.23,36.11,1.76,8.92,3.42,-7.83,14.51,8.84,Upgrade
EV/Sales Ratio,1.90,1.73,2.38,2.72,1.07,0.44,0.49,0.50,0.46,0.56,2.33,Upgrade
EV/EBITDA Ratio,6.75,6.66,15.32,10.26,9.02,2.31,-38.13,28.70,-0.84,-15.35,-8.87,Upgrade
EV/EBIT Ratio,7.27,7.31,20.36,11.76,9.15,2.48,-17.34,121.23,-0.79,-8.65,-7.38,Upgrade
EV/FCF Ratio,8.54,12.97,-15.13,7.79,41.15,1.43,8.75,3.11,-9.46,22.71,9.22,Upgrade
Debt / Equity Ratio,0.16,0.15,0.20,0.03,0.17,0.21,0.44,0.29,1.24,0.45,0.10,Upgrade
Debt / EBITDA Ratio,0.52,0.59,1.64,0.14,0.63,0.35,-5.84,2.44,-0.45,-8.22,-1.71,Upgrade
Debt / FCF Ratio,0.66,1.14,-1.62,0.11,2.89,0.22,1.34,0.26,-5.00,12.17,1.77,Upgrade
Current Ratio,1.40,1.47,1.64,1.93,0.74,0.76,0.35,0.52,0.46,0.64,0.70,Upgrade
Asset Turnover,0.86,0.82,0.58,0.90,1.21,1.42,1.37,1.42,0.70,0.68,0.16,Upgrade
Return on Equity (ROE),40.70%,39.70%,9.70%,53.70%,37.90%,57.20%,-6.70%,0.40%,-110.70%,-194.10%,-14.70%,Upgrade
Return on Assets (ROA),28.10%,27.20%,6.90%,33.20%,18.00%,22.50%,-1.70%,0.10%,-41.60%,-90.10%,-11.60%,Upgrade
Return on Capital (ROIC),55.10%,53.30%,23.70%,226.10%,226.90%,-107.20%,9.40%,-3.00%,-1784.70%,-27.20%,-8.10%,Upgrade
Earnings Yield,15.98%,17.85%,4.46%,10.32%,13.60%,28.49%,-2.36%,0.10%,-159.16%,-294.16%,-31.98%,Upgrade
FCF Yield,10.89%,7.22%,-5.93%,9.76%,2.36%,55.99%,10.80%,28.50%,-12.91%,5.48%,11.26%,Upgrade
Buyback Yield / Dilution,-1.59%,-0.53%,-12.82%,-11.74%,-1.30%,-1.50%,-0.12%,-0.65%,-0.30%,1.55%,-1.12%,Upgrade
Total Shareholder Return,-1.59%,-0.53%,-12.82%,-11.74%,-1.30%,-1.50%,-0.12%,-0.65%,-0.30%,1.55%,-1.12%,Upgrade
