Year,Current,2022,2021,2020
Market Capitalization,306,297,730,"1,151"
Market Cap Growth,-,-59.34%,-36.56%,-
Enterprise Value,309,300,732,"1,151"
PE Ratio,72.86,12.79,8.20,-12.73
PB Ratio,-10.11,-11.45,-16.54,-8.64
P/FCF Ratio,-154.74,-153.58,-323.31,-35365.15
P/OCF Ratio,-154.74,-153.58,-323.31,-35365.15
EV/EBITDA Ratio,26.51,12.94,8.22,-12.73
EV/EBIT Ratio,26.51,12.94,8.22,-12.73
EV/FCF Ratio,-156.65,-155.39,-324.00,-35356.00
Debt / Equity Ratio,-0.13,-0.14,-0.04,-0.01
Debt / EBITDA Ratio,0.34,0.15,0.02,-0.01
Debt / FCF Ratio,-2.03,-1.82,-0.76,-36.94
Current Ratio,0.09,0.12,0.18,1.55
Return on Equity (ROE),-42.60%,-80.70%,-407.30%,-
Return on Assets (ROA),3.10%,4.80%,14.90%,-
Return on Capital (ROIC),3.10%,4.80%,15.00%,-
Earnings Yield,3.82%,7.82%,12.19%,-7.85%
FCF Yield,-0.64%,-0.65%,-0.31%,-0.00%
Buyback Yield / Dilution,59.71%,11.94%,-91.97%,-
Total Shareholder Return,59.71%,11.94%,-91.97%,-
