Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,374,648,652,483,389,342,326,-,-
Market Cap Growth,-,-0.66%,34.88%,24.32%,13.73%,4.92%,-,-,-
Enterprise Value,571,749,522,478,498,417,226,-50,-21
PE Ratio,6.84,12.24,12.07,15.12,15.39,14.31,21.99,-,-
PS Ratio,2.04,3.55,3.76,3.42,3.47,3.60,3.72,-,-
PB Ratio,0.71,1.25,1.49,1.20,1.36,2.05,2.20,-,-
P/FCF Ratio,7.17,12.91,10.27,13.98,14.45,14.95,11.25,-,-
P/OCF Ratio,6.95,12.46,9.95,13.13,13.50,14.23,10.94,-,-
EV/Sales Ratio,3.11,4.11,3.01,3.38,4.44,4.38,2.58,-0.61,-0.27
EV/EBITDA Ratio,7.96,10.31,7.32,13.57,14.34,12.64,7.49,-1.83,-0.82
EV/EBIT Ratio,8.06,10.41,7.14,11.02,14.69,13.40,8.01,-1.98,-0.89
EV/FCF Ratio,10.92,14.94,8.22,13.82,18.52,18.22,7.80,-3.43,-1.38
Debt / Equity Ratio,0.51,0.26,0.12,0.18,0.60,0.56,0.02,0.03,0.03
Debt / EBITDA Ratio,3.73,1.82,0.71,2.00,4.91,2.83,0.12,0.14,0.16
Debt / FCF Ratio,5.11,2.64,0.79,2.04,6.35,4.08,0.12,0.26,0.26
Asset Turnover,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,-
Return on Equity (ROE),10.80%,11.50%,12.80%,8.70%,10.80%,15.10%,10.50%,13.00%,-
Return on Assets (ROA),1.00%,1.00%,1.20%,0.90%,1.00%,1.20%,0.80%,1.00%,-
Return on Capital (ROIC),1.30%,1.40%,1.70%,1.20%,1.30%,1.50%,1.50%,1.50%,-
Earnings Yield,13.89%,8.17%,8.29%,6.61%,6.50%,6.99%,4.55%,-,-
FCF Yield,13.95%,7.75%,9.74%,7.16%,6.92%,6.69%,8.89%,-,-
Dividend Yield,5.48%,2.85%,2.55%,2.78%,2.45%,2.35%,0.59%,-,-
Payout Ratio,36.80%,34.80%,30.70%,41.80%,37.70%,33.70%,12.90%,0.00%,0.00%
Buyback Yield / Dilution,-11.63%,-3.19%,-10.19%,-36.10%,-13.74%,-0.81%,-0.91%,-0.89%,-0.91%
Total Shareholder Return,-6.15%,-0.34%,-7.63%,-33.31%,-11.29%,1.54%,-0.33%,-0.89%,-0.91%
