Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,173,268,248,200,181,178,212,170,151,191,204,Upgrade
Market Cap Growth,-,8.01%,24.44%,10.50%,1.51%,-16.00%,24.51%,12.83%,-21.19%,-6.24%,-,Upgrade
Enterprise Value,180,227,204,186,184,109,159,135,124,165,188,Upgrade
PE Ratio,12.77,14.25,16.91,20.04,20.90,18.48,39.70,33.93,28.33,40.08,14.91,Upgrade
PS Ratio,1.57,2.18,1.89,1.85,1.77,1.80,2.32,2.12,2.01,2.76,3.40,Upgrade
PB Ratio,2.21,3.17,3.09,2.82,2.78,3.18,4.32,3.60,3.29,4.50,4.95,Upgrade
P/FCF Ratio,9.61,11.96,5.73,7.61,12.07,6.57,7.36,9.86,9.51,9.72,7.82,Upgrade
P/OCF Ratio,8.72,11.48,5.61,7.44,9.62,6.17,7.16,9.47,9.29,9.40,7.74,Upgrade
EV/Sales Ratio,1.51,1.84,1.55,1.72,1.80,1.10,1.74,1.68,1.65,2.37,3.14,Upgrade
EV/EBITDA Ratio,6.87,6.84,6.84,7.99,10.52,6.18,7.22,10.73,8.30,12.19,10.33,Upgrade
EV/EBIT Ratio,8.57,8.46,9.29,11.69,12.87,7.17,8.28,13.61,9.86,14.27,11.56,Upgrade
EV/FCF Ratio,9.24,10.13,4.71,7.10,12.30,4.01,5.52,7.83,7.81,8.37,7.21,Upgrade
Debt / Equity Ratio,0.41,0.43,0.52,0.69,0.86,-,0.02,0.05,0.10,0.10,0.27,Upgrade
Debt / EBITDA Ratio,1.32,1.09,1.39,2.10,3.21,-,0.03,0.20,0.30,0.31,0.62,Upgrade
Debt / FCF Ratio,1.77,1.62,0.96,1.87,3.76,-,0.03,0.14,0.28,0.21,0.43,Upgrade
Asset Turnover,0.59,0.60,0.63,0.54,0.57,0.85,0.86,0.79,0.77,0.74,0.78,Upgrade
Return on Equity (ROE),16.70%,21.60%,19.50%,14.30%,14.30%,18.10%,10.90%,10.70%,11.90%,11.40%,-142.20%,Upgrade
Return on Assets (ROA),7.20%,9.20%,7.00%,5.00%,4.80%,8.30%,5.00%,5.00%,5.40%,5.10%,17.90%,Upgrade
Return on Capital (ROIC),23.80%,30.00%,21.40%,13.90%,12.30%,53.20%,57.40%,26.00%,30.60%,24.90%,49.10%,Upgrade
Earnings Yield,7.74%,7.02%,5.91%,4.99%,4.79%,5.41%,2.52%,2.95%,3.53%,2.50%,6.71%,Upgrade
FCF Yield,10.40%,8.36%,17.46%,13.13%,8.28%,15.23%,13.58%,10.14%,10.51%,10.29%,12.79%,Upgrade
Dividend Yield,3.90%,2.56%,2.57%,3.05%,2.92%,2.61%,1.84%,2.27%,2.50%,1.91%,0.49%,Upgrade
Payout Ratio,47.70%,36.50%,43.40%,61.00%,61.20%,48.30%,72.70%,77.40%,70.60%,76.20%,7.10%,Upgrade
Buyback Yield / Dilution,3.17%,-1.35%,-1.89%,-8.08%,-5.98%,-2.28%,-0.99%,-2.33%,-3.35%,9.23%,21.67%,Upgrade
Total Shareholder Return,6.92%,1.21%,0.69%,-5.03%,-3.06%,0.33%,0.85%,-0.06%,-0.85%,11.14%,22.16%,Upgrade
