Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Market Capitalization,"62,308","62,095","70,325","38,015","47,932","48,418","49,472","40,868","37,418","46,764","45,356",Upgrade
Market Cap Growth,-,-11.70%,84.99%,-20.69%,-1.00%,-2.13%,21.05%,9.22%,-19.99%,3.10%,20.06%,Upgrade
Enterprise Value,"159,768","178,147","155,228","137,835","152,866","139,325","137,554","121,186","92,270","119,648","105,859",Upgrade
PE Ratio,7.40,6.33,11.25,9.77,10.91,11.63,11.96,11.87,11.21,12.30,11.47,Upgrade
PS Ratio,2.57,2.54,3.21,1.98,2.46,2.77,2.89,2.60,2.53,2.89,2.81,Upgrade
PB Ratio,1.12,1.21,1.52,0.88,1.23,1.39,1.44,1.30,1.24,1.53,1.57,Upgrade
P/FCF Ratio,1.79,24.42,2.02,1.00,2.23,3.73,30.15,-16.43,28.38,-14.36,4.37,Upgrade
P/OCF Ratio,1.73,17.29,1.98,0.98,2.14,3.54,21.95,-20.10,21.77,-17.97,4.14,Upgrade
EV/Sales Ratio,6.59,7.29,7.08,7.17,7.86,7.97,8.03,7.71,6.23,7.39,6.57,Upgrade
EV/EBITDA Ratio,13.28,12.69,16.28,22.67,23.62,21.37,22.95,24.02,19.82,22.71,18.80,Upgrade
EV/EBIT Ratio,14.63,13.74,18.76,28.44,27.54,24.62,26.77,28.42,22.76,25.99,21.31,Upgrade
EV/FCF Ratio,4.58,70.06,4.47,3.63,7.11,10.72,83.82,-48.71,69.98,-36.74,10.21,Upgrade
Debt / Equity Ratio,3.19,3.57,3.60,3.48,3.80,3.71,3.44,3.40,3.03,3.39,3.18,Upgrade
Debt / EBITDA Ratio,14.82,13.08,17.50,24.76,22.92,19.85,19.75,21.25,19.61,19.65,16.29,Upgrade
Debt / FCF Ratio,5.11,72.20,4.80,3.96,6.89,9.96,72.14,-43.09,69.22,-31.79,8.84,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,Upgrade
Return on Equity (ROE),15.60%,20.60%,13.70%,9.30%,11.60%,12.30%,12.20%,11.30%,11.60%,13.00%,14.10%,Upgrade
Return on Assets (ROA),1.00%,1.30%,0.80%,0.50%,0.70%,0.70%,0.80%,0.70%,0.70%,0.70%,0.80%,Upgrade
Return on Capital (ROIC),1.20%,1.50%,1.00%,0.60%,0.70%,0.90%,0.80%,0.70%,0.70%,0.80%,0.80%,Upgrade
Earnings Yield,12.98%,15.80%,8.89%,10.23%,9.17%,8.60%,8.36%,8.43%,8.92%,8.13%,8.72%,Upgrade
FCF Yield,55.93%,4.09%,49.39%,100.01%,44.87%,26.84%,3.32%,-6.09%,3.52%,-6.96%,22.87%,Upgrade
Dividend Yield,4.74%,4.55%,3.13%,6.69%,4.82%,3.94%,3.57%,4.02%,4.40%,3.84%,4.12%,Upgrade
Payout Ratio,35.40%,28.80%,36.30%,68.90%,53.80%,47.10%,44.50%,49.40%,50.80%,48.70%,48.40%,Upgrade
Buyback Yield / Dilution,-4.49%,-4.05%,-1.39%,1.33%,-,-0.32%,-0.49%,0.24%,-,1.01%,-1.84%,Upgrade
Total Shareholder Return,0.27%,0.49%,1.74%,8.01%,4.82%,3.62%,3.08%,4.26%,4.40%,4.86%,2.28%,Upgrade
