Year,Current,2022,2021
Market Capitalization,92,351,344
Market Cap Growth,-,1.92%,-
Enterprise Value,91,353,345
PE Ratio,48.52,40.14,-52.71
PB Ratio,51.75,17.04,48.14
P/FCF Ratio,39.36,-304.25,-106.08
P/OCF Ratio,39.36,-304.25,-106.08
EV/EBITDA Ratio,12.01,40.43,-52.92
EV/EBIT Ratio,12.01,40.43,-52.92
EV/FCF Ratio,39.12,-306.44,-106.51
Debt / Equity Ratio,0.23,0.14,0.20
Debt / EBITDA Ratio,0.05,0.32,-0.22
Debt / FCF Ratio,0.18,-2.44,-0.44
Current Ratio,0.06,0.03,0.15
Return on Equity (ROE),54.10%,55.90%,-44.60%
Return on Assets (ROA),3.50%,3.10%,-2.30%
Return on Capital (ROIC),3.80%,3.20%,-2.40%
Earnings Yield,8.28%,2.49%,-1.90%
FCF Yield,2.54%,-0.33%,-0.94%
Buyback Yield / Dilution,28.82%,-18.13%,-
Total Shareholder Return,28.82%,-18.13%,-
