Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,318,367,389,363,410,-,-
Market Cap Growth,-,-5.77%,7.25%,-11.38%,-,-,-
Enterprise Value,93,93,-392,-80,281,-141,-48
PE Ratio,8.16,9.94,11.81,12.90,16.50,-,-
PS Ratio,2.95,3.54,4.13,4.23,5.27,-,-
PB Ratio,1.15,1.38,1.31,1.27,1.63,-,-
P/FCF Ratio,7.28,9.80,6.56,62.98,18.07,-,-
P/OCF Ratio,6.32,8.00,6.25,28.36,15.49,-,-
EV/Sales Ratio,0.87,0.89,-4.15,-0.93,3.61,-1.96,-0.76
EV/EBITDA Ratio,1.85,1.95,-9.19,-2.17,8.56,-4.62,-1.96
EV/EBIT Ratio,1.95,2.06,-9.78,-2.32,9.22,-4.96,-2.14
EV/FCF Ratio,2.13,2.48,-6.60,-13.88,12.39,-6.83,-2.90
Debt / Equity Ratio,0.01,0.02,0.01,0.01,0.02,0.06,0.06
Debt / EBITDA Ratio,0.08,0.09,0.09,0.11,0.14,0.37,0.47
Debt / FCF Ratio,0.09,0.11,0.06,0.73,0.20,0.55,0.69
Asset Turnover,0.04,0.03,0.03,0.04,0.04,0.04,-
Return on Equity (ROE),15.10%,14.40%,11.20%,10.20%,10.60%,12.40%,-
Return on Assets (ROA),1.30%,1.20%,1.10%,1.20%,1.30%,1.30%,-
Return on Capital (ROIC),1.70%,1.60%,1.70%,1.60%,1.70%,1.70%,-
Earnings Yield,12.28%,10.06%,8.46%,7.75%,6.06%,-,-
FCF Yield,13.74%,10.20%,15.24%,1.59%,5.54%,-,-
Dividend Yield,0.65%,0.55%,0.52%,0.48%,-,-,-
Payout Ratio,5.30%,5.40%,6.20%,6.20%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,0.01%,1.27%,0.67%,-0.26%,-1.33%,-,-
Total Shareholder Return,0.66%,1.82%,1.19%,0.22%,-1.33%,-,-
