Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,325,521,572,321,477,557,433,277,192,-
Market Cap Growth,-,-8.93%,78.29%,-32.73%,-14.37%,28.51%,56.67%,43.96%,-,-
Enterprise Value,467,698,464,174,771,828,783,535,329,39
PE Ratio,6.17,9.03,10.90,-4.28,18.64,15.54,20.98,29.50,18.97,-
PS Ratio,1.64,2.62,3.11,2.39,3.60,3.96,4.40,4.54,3.62,-
PB Ratio,0.76,1.27,1.14,0.79,1.00,1.22,1.16,1.07,1.15,-
P/FCF Ratio,4.16,7.36,5.86,9.41,11.46,19.14,20.86,21.33,24.32,-
P/OCF Ratio,3.80,7.03,5.57,7.35,9.82,15.18,15.68,17.78,14.10,-
EV/Sales Ratio,2.35,3.51,2.52,1.29,5.82,5.89,7.95,8.78,6.21,0.79
EV/EBITDA Ratio,6.21,8.74,6.31,-2.62,19.10,15.99,22.62,33.33,20.08,2.57
EV/EBIT Ratio,7.09,9.93,7.20,-2.33,23.46,17.94,25.22,38.58,22.79,2.93
EV/FCF Ratio,5.99,9.86,4.75,5.10,18.54,28.48,37.69,41.28,41.66,3.58
Debt / Equity Ratio,0.92,0.69,0.30,0.33,0.80,1.02,1.07,1.14,1.16,0.60
Debt / EBITDA Ratio,5.22,3.53,2.07,-2.02,9.50,8.97,11.61,18.29,11.83,4.68
Debt / FCF Ratio,5.04,3.98,1.56,3.93,9.22,15.97,19.34,22.66,24.54,6.51
Asset Turnover,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,-
Return on Equity (ROE),13.10%,13.70%,12.10%,-17.00%,5.50%,8.40%,6.70%,5.10%,7.10%,-
Return on Assets (ROA),1.10%,1.20%,1.20%,-1.90%,0.60%,1.00%,0.80%,0.50%,0.70%,-
Return on Capital (ROIC),1.30%,1.40%,1.50%,-1.80%,0.80%,1.10%,1.10%,0.80%,1.00%,-
Earnings Yield,16.75%,11.08%,9.18%,-23.38%,5.37%,6.44%,4.77%,3.39%,5.27%,-
FCF Yield,24.02%,13.59%,17.07%,10.63%,8.73%,5.23%,4.79%,4.69%,4.11%,-
Dividend Yield,1.81%,1.10%,0.47%,-,-,-,-,-,-,-
Payout Ratio,11.20%,10.10%,4.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,5.17%,5.42%,-13.45%,3.81%,2.22%,-29.09%,-48.84%,-0.09%,-,-
Total Shareholder Return,6.99%,6.52%,-12.98%,3.81%,2.22%,-29.09%,-48.84%,-0.09%,-,-
