Year,Current,2022,2021,2020
Market Capitalization,116,505,504,386
Market Cap Growth,-,0.21%,30.62%,-
Enterprise Value,117,506,504,385
PE Ratio,30.42,30.40,90.75,-55.36
PB Ratio,-27.15,-27.15,-16.19,-10.52
P/FCF Ratio,-265.94,-265.94,-707.26,-610.00
P/OCF Ratio,-265.94,-265.94,-707.26,-610.00
EV/EBITDA Ratio,6.63,28.75,90.71,-55.23
EV/EBIT Ratio,6.63,28.75,90.71,-55.23
EV/FCF Ratio,-266.45,-266.45,-707.01,-608.59
Debt / Equity Ratio,-0.05,-0.05,-,-
Debt / EBITDA Ratio,0.05,0.05,-,-
Debt / FCF Ratio,-0.51,-0.51,-,-
Current Ratio,0.03,0.03,0.63,9.35
Return on Equity (ROE),-90.20%,-90.20%,-15.60%,-
Return on Assets (ROA),5.30%,5.30%,1.30%,-
Return on Capital (ROIC),5.60%,5.60%,1.30%,-
Earnings Yield,14.35%,3.29%,1.10%,-1.81%
FCF Yield,-1.64%,-0.38%,-0.14%,-0.16%
Buyback Yield / Dilution,3.62%,3.62%,-219.53%,-
Total Shareholder Return,3.62%,3.62%,-219.53%,-
