Year,Current,2022,2021,2020
Market Capitalization,84,313,309,263
Market Cap Growth,-,1.52%,17.62%,-
Enterprise Value,87,316,309,261
PE Ratio,206.40,56.59,64.76,-369.00
PB Ratio,-6.04,-23.63,-18.47,-12.22
P/FCF Ratio,-27.80,-114.52,-177.64,-387.40
P/OCF Ratio,-27.80,-114.52,-177.64,-387.40
EV/EBITDA Ratio,30.43,51.65,64.84,-367.12
EV/EBIT Ratio,30.43,51.65,64.84,-367.12
EV/FCF Ratio,-28.76,-115.31,-177.83,-385.43
Debt / Equity Ratio,-0.22,-0.18,-0.03,-
Debt / EBITDA Ratio,1.06,0.38,0.11,-
Debt / FCF Ratio,-1.00,-0.85,-0.31,-
Current Ratio,0.07,0.09,0.33,-
Return on Equity (ROE),-17.90%,-44.00%,-72.40%,-
Return on Assets (ROA),1.70%,2.90%,1.90%,-
Return on Capital (ROIC),2.10%,3.20%,1.90%,-
Earnings Yield,2.69%,1.77%,1.54%,-0.27%
FCF Yield,-3.59%,-0.87%,-0.56%,-0.26%
Buyback Yield / Dilution,73.75%,5.25%,-274.43%,-
Total Shareholder Return,73.75%,5.25%,-274.43%,-
