Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Market Capitalization,93,101,115,82,92,83,85,70,56,47,43,Upgrade
Market Cap Growth,-,-11.90%,39.76%,-10.87%,11.82%,-3.20%,22.07%,25.32%,17.62%,10.12%,60.16%,Upgrade
Enterprise Value,65,105,-49,-92,53,106,84,71,49,49,71,Upgrade
PE Ratio,10.23,11.52,12.58,9.22,13.84,11.75,16.66,13.01,11.66,11.20,10.94,Upgrade
PS Ratio,2.31,2.63,3.13,2.42,2.97,2.62,3.11,2.61,2.27,2.11,2.07,Upgrade
PB Ratio,0.94,1.04,1.23,0.96,1.19,1.15,1.31,1.16,1.02,0.94,0.93,Upgrade
P/FCF Ratio,10.56,10.51,6.11,-92.48,8.88,8.54,19.63,11.39,21.15,16.77,5.81,Upgrade
P/OCF Ratio,10.15,10.09,6.04,-170.25,8.36,8.01,12.51,9.79,14.88,6.98,5.55,Upgrade
EV/Sales Ratio,1.63,2.71,-1.34,-2.69,1.72,3.34,3.07,2.64,1.98,2.19,3.42,Upgrade
EV/EBITDA Ratio,4.94,8.40,-3.78,-6.96,5.43,10.84,9.23,7.99,6.31,6.21,9.88,Upgrade
EV/EBIT Ratio,5.72,9.64,-4.30,-8.08,6.42,12.07,10.30,8.77,6.86,7.48,12.40,Upgrade
EV/FCF Ratio,7.45,10.85,-2.61,102.73,5.14,10.90,19.39,11.53,18.40,17.39,9.61,Upgrade
Debt / Equity Ratio,0.55,0.63,0.21,0.23,0.22,1.18,0.92,0.92,0.75,0.61,0.94,Upgrade
Debt / EBITDA Ratio,4.11,4.90,1.48,1.51,1.71,8.70,6.53,6.25,5.33,3.92,6.03,Upgrade
Debt / FCF Ratio,6.20,6.33,1.02,-22.33,1.62,8.75,13.71,9.03,15.54,10.97,5.87,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),9.60%,9.30%,10.10%,11.00%,8.90%,10.20%,8.10%,9.30%,9.10%,8.70%,8.60%,Upgrade
Return on Assets (ROA),0.90%,0.90%,1.00%,1.10%,0.90%,1.00%,0.80%,1.00%,0.90%,0.90%,0.90%,Upgrade
Return on Capital (ROIC),1.20%,1.20%,1.60%,1.50%,1.30%,1.20%,1.40%,1.50%,1.40%,1.40%,1.30%,Upgrade
Earnings Yield,10.00%,8.68%,7.95%,10.85%,7.22%,8.51%,6.00%,7.69%,8.58%,8.93%,9.14%,Upgrade
FCF Yield,9.47%,9.52%,16.37%,-1.08%,11.26%,11.71%,5.09%,8.78%,4.73%,5.96%,17.22%,Upgrade
Dividend Yield,1.94%,2.01%,1.78%,2.52%,1.56%,1.68%,1.80%,1.10%,1.06%,1.10%,0.91%,Upgrade
Payout Ratio,19.00%,23.00%,22.20%,23.10%,21.30%,19.10%,29.30%,13.90%,12.00%,11.80%,9.90%,Upgrade
Buyback Yield / Dilution,1.38%,0.50%,-1.31%,-0.36%,-0.63%,0.04%,-0.04%,0.49%,0.87%,0.90%,-0.25%,Upgrade
Total Shareholder Return,3.31%,2.51%,0.47%,2.16%,0.94%,1.71%,1.76%,1.59%,1.93%,1.99%,0.66%,Upgrade
