Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,"4,306","4,071","6,573","6,469","5,737","3,298","3,517","2,983","5,586","4,154","2,903",Upgrade
Market Cap Growth,-,-38.07%,1.61%,12.77%,73.92%,-6.20%,17.87%,-46.59%,34.50%,43.09%,-,Upgrade
Enterprise Value,"21,413","21,393","23,306","21,546","21,317","17,298","17,082","15,795","21,271","11,413","14,704",Upgrade
PE Ratio,5.76,4.64,5.00,8.86,6.71,7.38,19.22,13.88,-25.39,8.97,-152.78,Upgrade
PS Ratio,1.63,1.47,1.95,2.54,2.17,1.43,1.77,1.42,7.34,2.66,3.38,Upgrade
PB Ratio,1.39,1.35,2.13,1.88,1.33,0.87,1.07,0.97,1.99,2.05,1.89,Upgrade
P/FCF Ratio,1.79,1.71,2.93,2.92,2.43,1.61,2.26,2.26,7.54,10.90,4.30,Upgrade
P/OCF Ratio,1.79,1.71,2.93,2.92,2.43,1.61,2.26,2.26,7.54,10.90,4.30,Upgrade
EV/Sales Ratio,8.16,7.72,6.93,8.46,8.04,7.49,8.61,7.54,27.95,7.31,17.10,Upgrade
EV/EBITDA Ratio,16.94,15.01,11.62,17.36,15.57,18.95,22.51,18.60,-137.24,15.06,-163.38,Upgrade
EV/EBIT Ratio,21.37,18.39,13.39,22.05,19.41,27.72,39.63,48.16,-60.26,15.53,-420.12,Upgrade
EV/FCF Ratio,8.93,8.96,10.37,9.74,9.02,8.45,10.98,11.95,28.71,29.95,21.78,Upgrade
Debt / Equity Ratio,5.91,6.06,5.74,5.17,3.98,4.00,4.59,4.55,6.16,4.13,8.29,Upgrade
Debt / EBITDA Ratio,14.40,12.83,8.85,14.34,12.57,16.62,19.83,16.44,-111.61,11.02,-141.88,Upgrade
Debt / FCF Ratio,7.60,7.66,7.90,8.05,7.29,7.42,9.68,10.56,23.35,21.93,18.92,Upgrade
Asset Turnover,0.12,0.13,0.15,0.11,0.12,0.11,0.11,0.11,0.05,0.12,0.06,Upgrade
Return on Equity (ROE),24.90%,28.90%,40.20%,22.80%,20.70%,12.50%,5.70%,7.10%,-8.10%,25.00%,-1.40%,Upgrade
Return on Assets (ROA),3.40%,4.00%,6.00%,3.20%,3.90%,2.20%,1.00%,1.20%,-1.50%,3.70%,-0.10%,Upgrade
Return on Capital (ROIC),2.70%,3.10%,4.80%,2.70%,3.10%,1.90%,1.40%,1.10%,-1.50%,3.50%,-0.10%,Upgrade
Earnings Yield,17.66%,21.57%,19.99%,11.28%,14.90%,13.55%,5.20%,7.21%,-3.94%,11.15%,-0.65%,Upgrade
FCF Yield,55.98%,58.64%,34.18%,34.19%,41.17%,62.03%,44.22%,44.31%,13.26%,9.17%,23.25%,Upgrade
Dividend Yield,10.92%,11.61%,19.33%,12.39%,7.13%,-,-,-,-,-,-,Upgrade
Payout Ratio,62.40%,53.70%,96.50%,109.60%,47.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,5.09%,6.49%,1.38%,1.03%,-0.22%,-0.26%,-0.40%,-5.65%,-10.97%,-12.00%,-2.92%,Upgrade
Total Shareholder Return,16.08%,18.11%,20.71%,13.42%,6.91%,-0.26%,-0.40%,-5.65%,-10.97%,-12.00%,-2.92%,Upgrade
