Year,Current,2022
Market Capitalization,350,345
Enterprise Value,350,345
PE Ratio,37.63,31.61
PB Ratio,-63.77,-43.97
P/FCF Ratio,-461.69,-567.17
P/OCF Ratio,-461.69,-567.17
EV/EBITDA Ratio,33.09,29.56
EV/EBIT Ratio,33.09,29.56
EV/FCF Ratio,-461.64,-566.75
Current Ratio,0.06,0.28
Return on Equity (ROE),-106.40%,-117.70%
Return on Assets (ROA),4.30%,3.90%
Return on Capital (ROIC),4.90%,4.20%
Earnings Yield,2.64%,3.16%
FCF Yield,-0.21%,-0.18%
Buyback Yield / Dilution,0.80%,-
Total Shareholder Return,0.80%,-
