Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,421,320,712,"1,223","2,482","1,230","2,278",-,-
Market Cap Growth,-,-55.04%,-41.78%,-50.74%,101.85%,-46.00%,-,-,-
Enterprise Value,220,121,390,"1,303","2,565",895,"2,174",92,20
PE Ratio,4.02,2.72,1.95,13.44,7.57,4.30,579.67,-,-
PS Ratio,0.30,0.23,0.40,0.69,1.64,1.12,2.70,-,-
PB Ratio,0.34,0.26,0.56,1.46,2.63,2.07,8.86,-,-
P/FCF Ratio,-44.64,-44.64,1.79,-26.87,-20.98,3.10,9.28,-,-
P/OCF Ratio,29.54,22.57,1.71,-37.90,-22.32,3.04,9.06,-,-
EV/Sales Ratio,0.16,0.09,0.22,0.73,1.69,0.81,2.58,0.15,0.05
EV/EBITDA Ratio,1.25,0.69,0.84,9.79,6.34,2.86,25.28,-94.21,-0.33
EV/EBIT Ratio,1.42,0.78,0.88,11.17,6.54,2.90,26.15,-56.10,-0.33
EV/FCF Ratio,-16.82,-16.82,0.98,-28.64,-21.67,2.26,8.85,1.83,-0.09
Debt / Equity Ratio,1.05,1.05,0.93,1.69,1.25,1.28,6.38,-12.69,-7.69
Debt / EBITDA Ratio,7.42,7.42,2.51,10.64,2.90,2.42,19.09,-1149.21,-8.06
Debt / FCF Ratio,-182.13,-182.13,2.94,-31.11,-9.94,1.91,6.69,22.32,-2.13
Current Ratio,1.43,1.43,1.64,1.37,1.68,1.29,0.99,0.95,0.94
Asset Turnover,0.44,0.44,0.56,0.55,0.70,0.53,0.48,0.69,-
Return on Equity (ROE),9.80%,9.80%,31.90%,12.50%,40.60%,70.00%,4.80%,43.40%,-
Return on Assets (ROA),3.70%,3.70%,11.50%,2.80%,15.10%,13.80%,0.20%,-3.60%,-
Return on Capital (ROIC),6.80%,6.80%,21.60%,5.90%,28.40%,20.10%,5.80%,-0.20%,-
Earnings Yield,28.07%,36.75%,51.22%,7.44%,13.20%,23.27%,0.17%,-,-
FCF Yield,-1.71%,-2.24%,55.88%,-3.72%,-4.77%,32.25%,10.78%,-,-
Buyback Yield / Dilution,5.36%,5.36%,-0.92%,-9.42%,-3.60%,-157.55%,-27.30%,-,-
Total Shareholder Return,5.36%,5.36%,-0.92%,-9.42%,-3.60%,-157.55%,-27.30%,-,-
