Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Market Capitalization,"9,909","9,388","9,763","7,138","7,967","6,642","6,701","5,177","4,481","4,903","4,998",Upgrade
Market Cap Growth,-,-3.85%,36.78%,-10.41%,19.96%,-0.89%,29.44%,15.53%,-8.61%,-1.89%,15.01%,Upgrade
Enterprise Value,"20,757","21,371","20,414","15,385","14,883","11,593","11,239","8,828","8,338","8,633","7,834",Upgrade
PE Ratio,14.26,15.65,6.23,14.75,10.05,7.74,10.05,10.92,11.82,8.30,10.23,Upgrade
PS Ratio,4.34,4.48,5.36,4.72,5.21,4.97,5.78,5.12,4.37,4.96,5.67,Upgrade
PB Ratio,0.98,0.98,1.10,1.00,1.07,0.91,0.94,1.00,0.87,0.93,1.02,Upgrade
P/FCF Ratio,-10.28,-6.91,-3.97,-12.31,-6.45,21.85,-3.27,7.32,12.45,-7.44,-3.85,Upgrade
P/OCF Ratio,-10.28,-6.91,-3.97,-12.31,-6.45,21.85,-3.27,7.32,12.45,-7.44,-3.85,Upgrade
EV/Sales Ratio,9.13,10.20,11.22,10.18,9.74,8.67,9.69,8.72,8.13,8.73,8.89,Upgrade
EV/EBITDA Ratio,17.13,19.25,10.37,18.76,13.53,10.38,12.34,12.96,13.34,10.45,11.61,Upgrade
EV/EBIT Ratio,17.13,19.25,10.37,18.76,13.53,10.38,12.34,12.96,13.36,10.46,11.62,Upgrade
EV/FCF Ratio,-21.54,-15.73,-8.30,-26.53,-12.05,38.13,-5.49,12.49,23.16,-13.10,-6.04,Upgrade
Debt / Equity Ratio,1.12,1.29,1.26,1.19,0.95,0.72,0.68,0.75,0.80,0.74,0.61,Upgrade
Debt / EBITDA Ratio,9.30,11.10,5.66,10.45,6.45,4.70,5.33,5.69,6.58,4.75,4.42,Upgrade
Debt / FCF Ratio,-11.64,-9.07,-4.53,-14.78,-5.74,17.26,-2.37,5.48,11.43,-5.96,-2.30,Upgrade
Asset Turnover,0.10,0.10,0.10,0.10,0.11,0.11,0.10,0.11,0.11,0.11,0.12,Upgrade
Return on Equity (ROE),7.00%,6.40%,18.90%,7.10%,10.70%,11.80%,9.50%,9.10%,7.20%,11.60%,11.10%,Upgrade
Return on Assets (ROA),3.00%,2.80%,8.50%,3.10%,5.50%,6.80%,5.50%,5.10%,4.10%,6.70%,6.70%,Upgrade
Return on Capital (ROIC),3.60%,3.40%,7.10%,3.60%,5.40%,6.60%,5.50%,5.30%,4.90%,6.80%,6.80%,Upgrade
Earnings Yield,6.76%,6.39%,16.05%,6.78%,9.95%,12.92%,9.95%,9.16%,8.46%,12.05%,9.77%,Upgrade
FCF Yield,-9.82%,-14.48%,-25.19%,-8.13%,-15.50%,4.58%,-30.56%,13.66%,8.03%,-13.44%,-25.96%,Upgrade
Dividend Yield,10.44%,10.32%,7.40%,9.50%,9.00%,9.88%,9.64%,9.22%,11.00%,9.77%,8.39%,Upgrade
Payout Ratio,146.20%,154.50%,46.20%,140.40%,90.30%,76.60%,96.80%,100.70%,130.80%,80.90%,85.80%,Upgrade
Buyback Yield / Dilution,-11.00%,-16.14%,-5.19%,0.70%,-0.23%,-0.24%,-35.35%,-,-2.95%,-14.26%,-15.98%,Upgrade
Total Shareholder Return,-0.51%,-5.82%,2.21%,10.21%,8.77%,9.64%,-25.71%,9.22%,8.05%,-4.49%,-7.60%,Upgrade
