Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,128,136,146,96,149,142,159,133,111,114,124,Upgrade
Market Cap Growth,-,-7.06%,52.59%,-35.82%,5.52%,-10.80%,18.92%,19.95%,-2.02%,-8.11%,-5.78%,Upgrade
Enterprise Value,445,453,448,367,488,358,251,272,225,301,229,Upgrade
PE Ratio,-11.35,-17.92,2.57,25.95,15.64,14.79,20.06,9.65,6.10,11.42,16.10,Upgrade
PS Ratio,2.44,2.79,3.06,2.11,2.84,3.30,4.75,4.29,3.45,4.97,7.24,Upgrade
PB Ratio,0.71,0.75,0.72,0.60,0.90,0.81,0.84,0.93,0.78,0.83,0.88,Upgrade
P/FCF Ratio,4.07,46.14,-12.18,1.19,-1.47,-1.40,14.87,-11.79,1.33,-1.74,4.23,Upgrade
P/OCF Ratio,4.07,46.14,-12.18,1.19,-1.47,-1.40,14.87,-11.79,1.33,-1.74,4.23,Upgrade
EV/Sales Ratio,8.54,9.29,9.38,8.08,9.30,8.36,7.50,8.75,6.97,13.19,13.44,Upgrade
EV/EBITDA Ratio,68.00,45.97,6.01,16.18,19.09,18.85,18.00,14.08,8.86,19.14,20.75,Upgrade
EV/EBIT Ratio,72.53,47.97,6.02,16.32,19.24,19.05,18.26,14.22,8.93,19.40,20.75,Upgrade
EV/FCF Ratio,14.22,153.68,-37.31,4.56,-4.81,-3.54,23.48,-24.05,2.69,-4.62,7.87,Upgrade
Debt / Equity Ratio,1.83,1.84,1.69,1.95,2.12,1.46,0.88,1.09,1.02,1.45,0.96,Upgrade
Debt / EBITDA Ratio,50.19,33.69,4.62,13.62,13.78,13.41,11.84,8.09,5.77,12.71,12.20,Upgrade
Debt / FCF Ratio,10.50,112.61,-28.71,3.83,-3.47,-2.52,15.44,-13.82,1.75,-3.07,4.63,Upgrade
Asset Turnover,0.10,0.09,0.09,0.10,0.10,0.11,0.10,0.11,0.10,0.08,0.07,Upgrade
Return on Equity (ROE),-6.60%,-4.00%,31.00%,2.60%,5.60%,5.30%,4.40%,9.70%,13.00%,7.20%,5.40%,Upgrade
Return on Assets (ROA),-2.30%,-1.40%,10.60%,0.80%,1.90%,2.40%,2.30%,4.70%,5.90%,3.40%,3.10%,Upgrade
Return on Capital (ROIC),0.70%,1.10%,9.00%,2.90%,3.10%,3.20%,3.10%,4.60%,5.80%,3.70%,3.30%,Upgrade
Earnings Yield,-9.54%,-5.58%,38.88%,3.85%,6.40%,6.76%,4.98%,10.36%,16.39%,8.75%,6.21%,Upgrade
FCF Yield,24.58%,2.17%,-8.21%,84.11%,-68.05%,-71.42%,6.73%,-8.48%,75.28%,-57.43%,23.62%,Upgrade
Dividend Yield,12.73%,11.45%,8.35%,12.02%,12.17%,13.11%,10.63%,9.88%,11.82%,11.54%,9.27%,Upgrade
Payout Ratio,-133.00%,-203.50%,21.50%,307.10%,191.50%,193.10%,212.50%,95.10%,72.00%,132.00%,148.80%,Upgrade
Buyback Yield / Dilution,0.18%,-0.03%,-0.15%,-0.22%,-0.12%,-7.61%,-27.97%,-0.23%,-0.37%,-0.15%,-0.43%,Upgrade
Total Shareholder Return,12.92%,11.42%,8.20%,11.79%,12.05%,5.49%,-17.34%,9.65%,11.45%,11.39%,8.84%,Upgrade
