Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Market Capitalization,290,378,302,285,379,327,339,353,205,184,136,Upgrade
Market Cap Growth,-,25.26%,5.65%,-24.71%,15.86%,-3.59%,-3.88%,72.34%,11.42%,34.91%,74.15%,Upgrade
Enterprise Value,-100,-347,-765,-408,187,257,311,389,141,164,86,Upgrade
PE Ratio,7.18,10.88,10.39,9.46,11.86,12.40,20.83,22.14,16.02,17.56,-16.98,Upgrade
PS Ratio,2.92,4.14,3.69,3.46,4.53,4.27,4.80,5.20,3.13,3.02,2.21,Upgrade
PB Ratio,1.11,1.53,1.19,1.19,1.74,1.72,1.96,2.18,1.35,1.29,1.03,Upgrade
P/FCF Ratio,6.74,11.09,8.59,10.02,13.06,11.54,14.55,16.75,8.41,6.73,4.48,Upgrade
P/OCF Ratio,7.02,10.85,8.39,9.34,12.76,11.04,14.90,20.86,14.63,11.07,8.36,Upgrade
EV/Sales Ratio,-0.40,-3.81,-9.35,-4.94,2.24,3.35,4.40,5.72,2.15,2.69,1.39,Upgrade
EV/EBITDA Ratio,-0.78,-7.79,-19.90,-10.35,4.50,7.37,10.62,15.56,6.58,9.01,5.07,Upgrade
EV/EBIT Ratio,-0.79,-8.07,-21.42,-11.08,4.75,7.95,11.52,17.52,7.65,10.89,6.20,Upgrade
EV/FCF Ratio,-0.93,-10.20,-21.80,-14.31,6.45,9.07,13.34,18.44,5.78,5.99,2.82,Upgrade
Debt / Equity Ratio,0.12,0.12,0.33,0.38,0.37,0.53,0.77,0.77,0.90,0.91,0.99,Upgrade
Debt / EBITDA Ratio,0.58,0.67,2.21,2.30,1.94,2.90,4.55,5.02,6.42,7.11,7.77,Upgrade
Debt / FCF Ratio,0.70,0.88,2.42,3.18,2.78,3.57,5.72,5.95,5.64,4.73,4.32,Upgrade
Asset Turnover,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),16.50%,14.30%,11.60%,13.00%,15.40%,14.50%,9.50%,10.00%,8.60%,7.50%,-6.00%,Upgrade
Return on Assets (ROA),1.50%,1.20%,1.00%,1.30%,1.60%,1.40%,0.90%,1.00%,0.80%,0.70%,-0.50%,Upgrade
Return on Capital (ROIC),2.40%,2.10%,2.00%,1.80%,2.10%,1.70%,1.50%,1.30%,1.10%,1.00%,1.00%,Upgrade
Earnings Yield,14.02%,9.19%,9.62%,10.57%,8.44%,8.06%,4.80%,4.52%,6.24%,5.70%,-5.89%,Upgrade
FCF Yield,14.83%,9.01%,11.64%,9.98%,7.66%,8.66%,6.87%,5.97%,11.89%,14.87%,22.31%,Upgrade
Dividend Yield,3.78%,2.90%,3.63%,3.82%,2.52%,2.60%,1.80%,1.15%,1.82%,1.47%,-,Upgrade
Payout Ratio,27.10%,31.70%,37.60%,36.40%,29.80%,32.10%,37.50%,25.50%,28.90%,25.80%,0.00%,Upgrade
Buyback Yield / Dilution,-0.11%,-0.17%,-0.26%,-0.12%,-0.14%,-0.22%,-0.06%,-0.16%,-0.19%,-24.00%,-0.66%,Upgrade
Total Shareholder Return,3.67%,2.74%,3.37%,3.71%,2.38%,2.38%,1.74%,0.99%,1.63%,-22.53%,-0.66%,Upgrade
