Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"1,627","3,600","2,902","2,642","3,024","2,839","2,595","2,480","1,800","1,695","1,796",Upgrade
Market Cap Growth,-,24.07%,9.81%,-12.61%,6.50%,9.39%,4.67%,37.78%,6.16%,-5.63%,64.78%,Upgrade
Enterprise Value,"3,283","4,947","1,788","1,111","3,289","3,415","3,013","2,992","2,423","2,397","2,569",Upgrade
PE Ratio,6.33,15.29,13.65,14.92,14.55,18.68,24.86,24.45,18.15,16.30,18.79,Upgrade
PS Ratio,2.90,6.61,5.95,5.97,6.17,7.26,7.88,8.29,6.16,5.87,6.96,Upgrade
PB Ratio,0.82,1.85,1.39,1.32,1.52,1.53,2.43,2.50,1.95,1.93,2.33,Upgrade
P/FCF Ratio,5.97,13.01,15.13,14.47,14.51,17.66,18.87,22.16,17.19,19.61,16.42,Upgrade
P/OCF Ratio,6.06,13.15,14.86,14.28,14.52,17.21,18.75,19.91,17.04,19.33,16.07,Upgrade
EV/Sales Ratio,5.86,9.08,3.67,2.51,6.72,8.73,9.14,10.01,8.30,8.29,9.95,Upgrade
EV/EBITDA Ratio,9.04,14.47,6.14,4.47,10.51,15.56,15.74,17.85,16.17,14.65,17.51,Upgrade
EV/EBIT Ratio,9.45,15.07,6.01,4.45,11.30,16.18,15.96,18.44,16.01,14.73,17.81,Upgrade
EV/FCF Ratio,12.05,17.88,9.32,6.08,15.78,21.25,21.90,26.73,23.15,27.72,23.48,Upgrade
Debt / Equity Ratio,0.95,0.80,0.31,0.23,0.23,0.40,0.54,0.69,0.83,0.95,1.21,Upgrade
Debt / EBITDA Ratio,5.22,4.56,2.21,1.89,1.45,3.41,3.03,4.07,5.09,5.10,6.39,Upgrade
Debt / FCF Ratio,6.96,5.64,3.36,2.58,2.18,4.65,4.21,6.09,7.28,9.65,8.57,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),12.80%,11.90%,10.30%,9.00%,10.70%,10.40%,9.80%,10.30%,10.90%,12.30%,12.50%,Upgrade
Return on Assets (ROA),1.50%,1.40%,1.40%,1.30%,1.80%,1.50%,1.20%,1.30%,1.30%,1.40%,1.50%,Upgrade
Return on Capital (ROIC),2.10%,2.00%,2.20%,2.10%,2.70%,2.20%,2.20%,2.00%,1.90%,2.10%,2.10%,Upgrade
Earnings Yield,15.31%,6.54%,7.32%,6.70%,6.87%,5.35%,4.02%,4.09%,5.51%,6.14%,5.32%,Upgrade
FCF Yield,16.74%,7.69%,6.61%,6.91%,6.89%,5.66%,5.30%,4.51%,5.82%,5.10%,6.09%,Upgrade
Dividend Yield,7.05%,2.99%,3.36%,4.62%,3.15%,2.77%,2.21%,1.57%,2.84%,2.50%,2.26%,Upgrade
Payout Ratio,43.50%,46.10%,45.90%,69.20%,45.90%,44.80%,54.70%,38.30%,51.60%,40.80%,42.30%,Upgrade
Buyback Yield / Dilution,1.70%,-3.16%,-0.01%,3.28%,0.16%,-27.39%,-1.87%,-1.67%,-0.51%,-0.56%,-0.40%,Upgrade
Total Shareholder Return,8.75%,-0.17%,3.35%,7.90%,3.31%,-24.63%,0.34%,-0.10%,2.33%,1.94%,1.86%,Upgrade
